tão tão
possa poder
conviver conviver
com com
baratas barata
e e
ratos rato
Aleluia aleluiar
Ah ah
não não
né né
Eu eu
nunca nunca
vi ver
ninguém ninguém
orar orar
assim assim
eu eu
também também
nunca nunca
vi ver
ninguém ninguém
Orar orar
Senhor senhor
me eu
dá dar
um um
salário salário
mínimo pequeno
para para
eu eu
poder poder
passar passar
um um
aperto aperto
com com
um um
salário salário
mínimo pequeno
aleluia aleluiar
glória glória
a a
Deus deus
só só
um um
salário salário
mínimo pequeno
tá estar
bom bom
que que
conviver conviver
que que
hipocrisia hipocrisia
desgraçada desgraçar
é ser
essa esse
Gente gente
eu eu
nunca nunca
vi ver
ninguém ninguém
pedir pedir
porcaria porcaria
a a
Deus deus
como como
é ser
que que
você você
quer querer
o o
melhor bom
dessa de_esse
terra terra
e e
você você
disse dizer
que que
aqui aqui
não não
tem ter
nada nada
para para
você você
que que
argumento argumento
contraditório contraditório
errado errar
teologicamente teologicamente
é ser
esse esse
Agora agora
presta presto
atenção atenção
no em_o
que que
eu eu
vou ir
falar falar
porque porque
eu eu
vou ir
beber beber
até até
um um
pouco pouco
de de
água água
número número
4 4
a o
tentativa tentativa
de de
alienar alienar
os o
que que
os o
cristãos cristão
das de_o
questões questão
políticas político
o o
jogo jogo
é ser
pesado pesar
há há
uma um
tentativa tentativa
de de
nos nós
alienar alienar
do de_o
processo processo
político político
olha olhar
como como
é ser
que que
é ser
o o
jogo jogo
primeira primeira
palavra palavra
deles de_eles
pastor pastor
o o
estado estado
é ser
Laico laico
Quantas quanto
vezes vez
você você
já já
ouviu ouvir
isso isso
aí aí
em em
televisão televisão
jornal jornal
quem quem
já já
ouviu ouvir
isso isso
levanta levantar
a o
mão mão
e e
quem quem
já já
ouviu ouvir
ah ah
todo todo
mundo mundo
né né
a o
gente gente
não não
presta presto
nem nem
atenção atenção
no em_o
significado significado
disso de_isso
estado estado
laico laico
é ser
o o
estado estado
que que
não não
pode poder
ter ter
religião religião
correto correto
o o
estado estado
é ser
laico laico
o o
estado estado
não não
pode poder
ter ter
preferência preferência
religiosa religioso
agora agora
o o
estado estado
é ser
Laico laico
mas mas
não não
é ser
lá lá
insista insistir
isso isso
é ser
ele ele
não não
é ser
contra contra
a o
religião religião
o o
estado estado
é ser
Laico laico
mas mas
o o
povo povo
tem ter
religião religião
e e
90 90
% %
da de_o
população população
brasileira brasileiro
é ser
formada formar
de de
cristãos cristão
Aí aí
vem vir
uma um
outra outro
pergunta pergunta
a o
política política
é ser
laica laico
não não
por por
quê quê
Porque porque
ela ela
representa representar
crenças crença
e e
Valores valor
do de_o
Povo povo
a o
política política
não não
é ser
laica laico
o o
estado estado
é ser
Laico laico
mas mas
a o
política política
não não
é ser
porque porque
ela ela
representa representar
as o
convicção convicção
as o
convicções convicção
dos de_o
cidadãos cidadão
um um
filósofo filósofo
moderno moderno
conceitoadíssimo conceitoadíssimo
hoje hoje
no em_o
Mundo mundo
Chamado chamado
Michael michael
sandel sandel
ele ele
diz dizer
uma um
coisa coisa
muito muito
interessante interessante
é ser
bem bem
vindo vir
ao a_o
debate debate
político político
é ser
fundamental fundamental
para para
o o
debate debate
político político
as o
convicções convicção
dos de_o
cidadãos cidadão
não não
importa importar
de de
que que
vier vir
seja ser
ateístas ateísta
filosóficos filosófico
socialistas socialista
comunistas comunista
ou ou
cristãos cristão
porque porque
você você
não não
separa separar
o o
ser ser
humano humano
de de
suas seu
crenças crença
e e
valores valor
e e
eu eu
vou ir
provar provar
isso isso
com com
a o
história história
já já
já já
eu eu
vou ir
te tu
provar provar
você você
não não
separa separar
Então então
esse esse
é ser
um um
jogo jogo
para para
nos nós
alienar alienar
desse de_esse
processo processo
a o
liberdade liberdade
de de
expressão expressão
é ser
fundamento fundamento
da de_o
Democracia democracia
Artigo artigo
5º 5º
inciso inciso
4 4
é ser
livre livre
a o
manifestação manifestação
do de_o
pensamento pensamento
por por
mais muito
que que
esdrúxulo esdrúxulo
seja ser
a o
manifestação manifestação
de de
um um
pensamento pensamento
mas mas
tem ter
direito direito
de de
fazer fazer
isso isso
é ser
estado estar
democrático democrático
de de
direito direito
estado estado
democrático democrático
direito direito
para para
todo todo
mundo mundo
pensar pensar
uma um
mesma mesmo
coisa coisa
é é
ditadura ditadura
da de_o
opinião opinião
Ditadura ditadura
do de_o
falso falso
consenso consenso
e e
esse esse
é ser
um um
jogo jogo
do de_o
controle controle
do de_o
pensamento pensamento
do de_o
Marxismo marxismo
cultural cultural
que que
que que
eles eles
querem querer
controlar controlar
o o
pensamento pensamento
porque porque
eles eles
querem querer
mudar mudar
o o
paradigma paradigma
do de_o
mundo mundo
ocidental ocidental
do de_o
modelo modelo
Cristão cristão
Judá judá
Cristão cristão
para para
o o
modelo modelo
ateísta ateísta
humanista humanista
então então
se se
você você
não não
é ser
Politicamente politicamente
correto correto
e e
o o
que que
é ser
Politicamente politicamente
correto correto
é ser
aquele aquele
que que
defende defender
liberação liberação
de de
drogas droga
ideologia ideologia
de de
gênero gênero
Casamento casamento
entre entre
o o
mesmo mesmo
sexo sexo
isso isso
aqui aqui
é ser
o o
Politicamente politicamente
correto correto
se se
você você
não não
pensa pensar
assim assim
você você
é ser
retrógrado retrógrado
Você você
é ser
fundamentalista fundamentalista
você você
é ser
ultrapassado ultrapassar
Tá estar
vendo ver
como como
é ser
que que
é ser
o o
jogo jogo
para para
tentar tentar
nos nós
alienar alienar
do de_o
processo processo
político político
que que
nós nós
estamos estar
aí aí
vem vir
um um
bobalhão bobo
de de
pastor pastor
fica ficar
quietinho quieto
pregando pregar
na em_o
sua seu
igreja igreja
de de
vez vez
em em
quando quando
quando quando
eu eu
tô tô
me me
posicionando posicionar
vem vir
um um
escreve escrever
isso isso
e e
é ser
crente crente
aí aí
eu eu
digo dizer
assim assim
eu eu
sou ser
menos menos
ou ou
mais mais
cidadão cidadão
do de_o
que que
alguém alguém
não não
eu eu
sou ser
tão tão
cidadão cidadão
como como
qualquer qualquer
outro outro
Operário operário
pode poder
se se
manifestar manifestar
se se
um um
Sindicalista sindicalista
pode poder
se se
manifestar manifestar
se se
o o
médico médico
pode poder
se se
manifestar manifestar
se se
o o
engenheiro engenheiro
pode poder
se se
manifestar manifestar
eu eu
também também
posso poder
e e
me eu
Manifesto manifestar
porque porque
eu eu
sou ser
não não
tem ter
nenhum nenhum
texto texto
na em_o
Bíblia bíblia
que que
proíbe proibir
um um
líder líder
espiritual espiritual
se se
manifestar manifestar
proíbe proibir
um um
pastor pastor
é ser
claro claro
que que
eles eles
não não
querem querer
que que
eu eu
me eu
manifeste manifestar
porque porque
eles eles
querem querer
te tu
influenciar influenciar
segundo segundo
os o
fundamentos fundamento
princípios princípio
crenças crença
e e
valores valor
deles de_eles
e e
não não
segundo segundo
os o
nossos nosso
é ser
claro claro
e e
ficam ficar
malucos maluco
de de
ver ver
um um
pastor pastor
bocudo bocudo
como como
seu seu
ficam ficar
Malu malu
Olha olhar
o o
que que
eu eu
já já
dei dar
de de
entrevista entrevista
nesses em_esse
últimos último
40 40
dias dia
para para
Imprensa imprensa
internacional internacional
meu meu
irmão irmão
eu eu
não não
tenho ter
eles eles
tudo tudo
e e
eu eu
já já
conheço conhecer
de de
trás trás
para para
frente frente
de de
frente frente
para para
trás trás
eu eu
já já
eu eu
eu eu
boto botar
a o
casca casca
de de
banana banana
para para
um um
deles de_eles
para para
eles eles
entrarem entrar
só só
para para
mim eu
rir rir
e e
deitar deitar
e e
rolar rolar
da de_o
França frança
da de_o
Inglaterra inglaterra
da de_o
Alemanha alemanha
dos de_o
Estados estados
Unidos unidos
de de
tudo tudo
que que
é ser
lugar lugar
sobre sobre
a o
influência influência
do de_o
voto voto
evangélico evangélico
nas em_o
eleições eleição
e e
eu eu
digo dizer
por por
algum algum
acaso acaso
nós nós
somos ser
cidadãos cidadão
de de
segunda segundo
classe classe
E e
aí aí
Quando quando
eu eu
digo dizer
isso isso
aqui aqui
para para
eles eles
eu eu
calo calar
o o
que que
eu eu
vou ir
dizer dizer
para para
vocês você
a o
contribuição contribuição
do de_o
cristianismo cristianismo
para para
o o
mundo mundo
aí aí
tem ter
uma um
frase frase
gente gente
acorda acordar
É é
mesmo mesmo
é ser
então então
você você
quer querer
dizer dizer
que que
suas seu
convicções convicção
crenças crença
e e
valores valor
não não
tem ter
nada nada
a a
ver ver
com com
política política
mas mas
do de_o
comunista comunista
do de_o
ateísta ateísta
tem ter
a a
ver ver
então então
eles eles
podem poder
misturar misturar
suas seu
crenças crença
valores valor
e e
fundamentos fundamento
com com
a o
política política
você você
cristão cristão
não não
agora agora
a o
casa casa
vai ir
cair cair
preste preste
atenção atenção
que que
isso isso
aqui aqui
é ser
importante importante
eu eu
vou ir
te tu
mostrar mostrar
que que
isso isso
é ser
uma um
piada piada
para para
quem quem
vive viver
no em_o
mundo mundo
ocidental ocidental
Qual qual
é ser
a o
mais mais
importante importante
tradição tradição
do de_o
mundo mundo
ocidental ocidental
o o
cristianismo cristianismo
o o
cristianismo cristianismo
é ser
o o
fator fator
fundamental fundamental
da de_o
formação formação
da de_o
Europa europa
e e
das de_o
Américas américa
é ser
o o
cristianismo cristianismo
proteção proteção
à a_o
Vida vida
Direitos direitos
Humanos humanos
valorização valorização
da de_o
criança criança
da de_o
mulher mulher
e e
do de_o
Idoso idoso
casamento casamento
e e
Vida vida
em em
família família
não não
vem vir
do de_o
comunismo comunismo
dentro dentro
do de_o
socialismo socialismo
vem vir
do de_o
cristianismo cristianismo
os o
universidades universidade
do de_o
mundo mundo
foram ser
criadas criar
por por
cristãos cristão
[ [
Música música
] _
Oxford oxford
Bolonha bolonha
Paris paris
não não
foi ser
criada criar
por por
comunistas comunista
ou ou
socialistas socialista
as o
maiores grande
obras obra
sociais social
do de_o
mundo mundo
foram ser
criadas criar
por por
cristãos cristão
você você
já já
ouviram ouvir
falar falar
na em_o
Cruz cruz
Vermelha vermelha
E e
você você
acha achar
que que
a o
Cruz cruz
Vermelha vermelha
uma um
das de_o
maiores grande
organizações organização
de de
assistência assistência
do de_o
mundo mundo
foi ser
criada criar
por por
quem quem
um um
cara cara
calvinista calvinista
um um
cristão cristão
as o
maiores grande
obras obra
sociais social
do de_o
mundo mundo
foram ser
criadas criar
por por
Cristão cristão
Que que
conversa conversa
fiada fiar
é ser
essa esse
o o
cristianismo cristianismo
está estar
permeado permear
em em
toda todo
a o
vida vida
do de_o
mundo mundo
ocidental ocidental
gente gente
não não
é ser
comunismo comunismo
nem nem
socialismo socialismo
aí aí
quando quando
eu eu
falo falar
da de_o
reforma reforma
protestante protestante
aí aí
é ser
a o
radical radical
quando quando
eu eu
coloco colocar
a o
importância importância
da de_o
reforma reforma
protestante protestante
para para
o o
mundo mundo
ah ah
meu meu
irmão irmão
e e
o o
negócio negócio
aí aí
o o
negócio negócio
aí aí
o o
negócio negócio
é ser
bonito bonito
sabe saber
por por
quê quê
Porque porque
a o
reforma reforma
protestante protestante
é ser
que que
marcou marcar
a o
passagem passagem
do de_o
mundo mundo
medieval medieval
para para
o o
moderno moderno
foi ser
a o
reforma reforma
protestante protestante
a a
partir partir
da de_o
reforma reforma
protestante protestante
é ser
que que
se se
produziu produzir
ciência ciência
como como
nunca nunca
no em_o
mundo mundo
é ser
a o
reforma reforma
protestante protestante
que que
é ser
responsável responsável
pelo por_o
Estado estado
Moderno moderno
é ser
a o
reforma reforma
protestante protestante
que que
criou criar
o o
Estado estado
Laico laico
a o
separação separação
do de_o
estado estado
para para
a o
religião religião
é ser
a o
reforma reforma
protestante protestante
que que
criou criar
a o
escola escola
pública público
é ser
a o
reforma reforma
protestante protestante
que que
permitiu permitir
que que
homens homem
de de
classe classe
classes classar
baixa baixa
conquistassem conquistar
poder poder
riqueza riqueza
não não
é ser
comunismo comunismo
nem nem
socialismo socialismo
não não
é ser
a o
reforma reforma
protestante protestante
de de
que que
nós nós
fazemos fazer
parte parte
dela de_ela
nós nós
somos ser
braços braço
da de_o
reforma reforma
protestante protestante
as o
nações nação
mais mais
adiantadas adiantar
do de_o
mundo mundo
a a
sua seu
matriz matriz
é ser
cristã cristão
protestante protestante
Estados estados
Unidos unidos
Canadá canadá
Inglaterra inglaterra
Alemanha alemanha
Suécia suécia
Holanda holanda
Suíça suíça
Qual qual
é ser
a o
matriz matriz
por por
alguma algum
casa casa
comunista comunista
por por
alguma algum
casa casa
socialista socialista
e e
mais mais
um um
dado dado
onde onde
o o
cristianismo cristianismo
é ser
maioria maioria
não não
massacra massacrar
minorias minoria
e e
onde onde
o o
cristianismo cristianismo
é ser
minoria minoria
é ser
massacrado massacrar
vai ir
ver ver
as o
nações nação
islâmicas islâmico
O o
que que
é ser
que que
fazem fazer
com com
cristão cristão
vai ir
ver ver
nação nação
budista budista
onde onde
eles eles
dominam dominar
o o
que que
que que
fazem fazer
com com
Cristão cristão
Que que
conversa conversa
fiada fiar
é ser
essa esse
se se
tem ter
gente gente
que que
é ser
a a
favor favor
da de_o
liberdade liberdade
é ser
o o
povo povo
Cristão cristão
isso isso
é ser
histórico histórico
e e
se se
a o
sociológico sociológico
Vai ir
plantar plantar
batata batata
essa esse
cambada cambar
de de
comum comum
na em_o
de de
esquerdopata esquerdopata
e e
dessa de_esse
imprensa imprensa
que que
tem ter
lado lado
e e
ativista ativista
política política
Vai ir
plantar plantar
batata batata
ninguém ninguém
vai ir
nos nós
calar calar
vai ir
não não
vão ir
que que
não não
é ser
só só
um um
[ [
Aplausos aplauso
] _
agora agora
escute escutar
o o
que que
tá estar
acontecendo acontecer
escuta escutar
essa esse
eu eu
disse dizer
isso isso
para para
os o
três três
jornalistas jornalista
estou estar
esperando esperar
a o
resposta resposta
deles de_eles
até até
agora agora
Quando quando
eu eu
digo dizer
para para
eles eles
assim assim
o o
paradigma paradigma
o o
modelo modelo
o o
padrão padrão
do de_o
mundo mundo
ocidental ocidental
é ser
um um
modelo modelo
judaico judaico
cristão cristão
que que
o o
Marxismo marxismo
cultural cultural
que que
é ser
mudar mudar
para para
o o
modelo modelo
ateísta ateísta
humanista humanista
aí aí
olha olhar
o o
que que
que que
eu eu
digo dizer
para para
eles eles
ao a_o
enfraquecerem enfraquecer
o o
cristianismo cristianismo
no em_o
mundo mundo
ocidental ocidental
estão estar
fortalecendo fortalecer
o o
Islamismo islamismo
gostam gostar
disso de_isso
é ser
isso isso
que que
vocês você
querem querer
disse dizer
para para
um um
Jornalista jornalista
francesa francês
tá estar
melhor bom
né né
Tá estar
melhor bom
o o
Islamismo islamismo
lá lá
do de_o
que que
o o
cristianismo cristianismo
né né
tá estar
na em_o
boa bom
né né
para para
vocês você
então então
ocidental ocidental
Eles eles
não não
tão tão
fortalecendo fortalecer
o o
socialismo socialismo
nem nem
comunismo comunismo
não não
tão tão
fortalecendo fortalecer
o o
Islamismo islamismo
agora agora
deixa deixar
eu eu
dizer dizer
uma um
outra outro
coisa coisa
para para
você você
já já
que que
eu eu
tô tô
aqui aqui
te tu
ensinando ensinar
sobre sobre
a o
questão questão
de de
votar votar
a o
grande grande
pergunta pergunta
é ser
Votar votar
em em
quem quem
como como
primeiro primeiro
se se
você você
é ser
um um
verdadeiro verdadeiro
Cristão cristão
tem ter
aqui aqui
tem ter
Cristão cristão
verdadeiro verdadeiro
aqui aqui
manifesta manifestar
aí aí
só só
para para
mim eu
saber saber
então então
se se
você você
vai ir
voltar voltar
primeiro primeiro
lugar lugar
para para
você você
votar votar
em em
qualquer qualquer
candidatura candidatura
quem quem
está estar
afinado afinar
com com
suas seu
crenças crença
valores valor
e e
fundamentos fundamento
se se
você você
é ser
um um
verdadeiro verdadeiro
Cristão cristão
na em_o
hora hora
de de
você você
votar votar
quem quem
é ser
que que
está estar
mais mais
afinado afinar
Pode poder
não não
estar estar
totalmente totalmente
afinado afinar
mas mas
o o
mais mais
afinado afinar
com com
minhas meu
crenças crença
valores valor
e e
fundamentos fundamento
então então
meu meu
irmão irmão
com com
todo todo
respeito respeito
se se
você você
vota votar
porque porque
o o
camarada camarada
é ser
o o
político político
do de_o
seu seu
bairro bairro
ou ou
da de_o
sua seu
cidade cidade
e e
você você
não não
se se
preocupa preocupar
com com
ele ele
com com
isso isso
com com
ele ele
não não
com com
isso isso
meus meu
pêsames pêsames
para para
você você
se se
você você
vota votar
porque porque
o o
cara cara
do de_o
sindicato sindicato
é ser
mais mais
importante importante
do de_o
que que
suas seu
crenças crença
valores valor
e e
fundamentos fundamento
meus meu
sentimentos sentimento
porque porque
na em_o
ordem ordem
de de
prioridade prioridade
na em_o
hora hora
de de
eu eu
voltar voltar
que que
voltar voltar
a o
minha meu
primeira primeiro
prioridade prioridade
quem quem
está estar
afinado afinar
com com
minhas meu
crenças crença
valores valor
e e
fundamentos fundamento
então então
se se
eu eu
vou ir
votar votar
em em
Governador governador
Presidente presidente
da de_o
República república
Senador senador
e e
Prefeito prefeito
isso isso
aqui aqui
é ser
chamado chamar
voto voto
da de_o
maioria maioria
não não
é ser
voto voto
do de_o
segmento segmento
voto voto
de de
segmento segmento
sociais social
a a
deputado deputado
federal federal
deputado deputado
estadual estadual
e e
Vereador vereador
agora agora
nós nós
não não
temos ter
eleição eleição
de de
prefeito prefeito
de de
vereador vereador
então então
eleições eleição
que que
marcam marcar
o o
conjunto conjunto
da de_o
maioria maioria
da de_o
sociedade sociedade
Senador senador
que que
agora agora
é ser
uma um
vaga vaga
a a
cada cada
quatro quatro
anos ano
é ser
uma um
vaga vaga
e e
a a
cada cada
4 4
anos ano
são ser
duas dois
agora agora
é ser
uma um
renova renovar
um um
terço terço
do de_o
Senado senado
Então então
esse esse
voto voto
não não
é ser
o o
voto voto
de de
segmento segmento
é ser
o o
voto voto
do de_o
todo todo
o o
voto voto
de de
Governador governador
não não
é ser
de de
segmento segmento
é ser
do de_o
todo todo
o o
voto voto
de de
Presidente presidente
não não
é ser
de de
segmento segmento
é ser
de de
todo todo
então então
eu eu
vou ir
votar votar
para para
senador senador
eu eu
vou ir
votar votar
para para
Presidente presidente
eu eu
vou ir
botar botar
para para
Governador governador
não não
eu eu
tenho ter
que que
votar votar
num em_um
cara cara
que que
é ser
evangélico evangélico
depende depender
se se
você você
tiver ter
alguém alguém
politicamente politicamente
preparado preparar
nesses em_esse
cargos cargo
majoritários majoritário
que que
não não
é ser
só só
o o
evangélico evangélico
que que
vota votar
que que
é ser
o o
conjunto conjunto
da de_o
sociedade sociedade
legal legal
se se
não não
tem ter
quem quem
é ser
o o
que que
tem ter
mais muito
afinidade afinidade
então então
eu eu
vou ir
pensar pensar
Quem quem
é ser
o o
que que
tem ter
mais muito
afinidade afinidade
para para
eu eu
votar votar
para para
senador senador
Governador governador
e e
presidente presidente
E e
aí aí
como como
é ser
que que
eu eu
posso poder
votar votar
isso isso
vale valer
para para
qualquer qualquer
um um
seja ser
para para
o o
voto voto
da de_o
maioria maioria
da de_o
sociedade sociedade
como como
por por
voto voto
do de_o
segmento segmento
do de_o
segmento segmento
é ser
pior mau
ainda ainda
eu eu
não não
posso poder
voltar voltar
quem quem
apoia apoiar
aborto aborto
porque porque
vida vida
é ser
fundamento fundamento
do de_o
cristianismo cristianismo
eu eu
não não
posso poder
Votar votar
em em
quem quem
apoia apoiar
a o
ideologia ideologia
de de
gênero gênero
quem quem
cuida cuidar
e e
educa educar
a o
criança criança
é ser
o o
pai pai
e e
a o
mãe mãe
então então
eu eu
não não
posso poder
apoiar apoiar
quem quem
apoia apoiar
essa esse
porcaria porcaria
esse esse
lixo lixo
nojento nojento
porque porque
os o
esquerdopatas esquerdopatas
querem querer
as o
crianças criança
para para
manipular manipular
na em_o
escola escola
para para
tirar tirar
a o
autoridade autoridade
dos de_o
pais pai
eu eu
não não
posso poder
votar votar
eu eu
não não
posso poder
votar votar
quem quem
acha achar
que que
a o
família família
tradicional tradicional
é ser
coisa coisa
arcaica arcaico
porque porque
a o
família família
tradicional tradicional
Quem quem
criou criar
foi ser
Deus deus
para para
sustentar sustentar
aquilo aquilo
da de_o
própria próprio
sociedade sociedade
então então
eu eu
não não
posso poder
votar votar
porque porque
isso isso
aqui aqui
são ser
meus meu
fundamentos fundamento
não não
tem ter
negócio negócio
não não
é ser
porque porque
eu eu
gosto gostar
eu eu
me eu
apaixono apaixono
não não
gosto gostar
do de_o
jeito jeito
desse de_esse
cara cara
A o
questão questão
não não
é ser
gostar gostar
do de_o
jeito jeito
ou ou
gostar gostar
do de_o
jeito jeito
a a
questão questão
são ser
seus seu
fundamentos fundamento
bem bem
Se se
os o
seus seu
fundamentos fundamento
não não
tem ter
valor valor
então então
por por
favor favor
rasga rasgar
seu seu
cartão cartão
de de
membro membro
diga dizer
que que
você você
não não
é ser
um um
cristão cristão
verdadeiro verdadeiro
fale falar
o o
que que
você você
quiser querer
que que
seja ser
menos menos
isso isso
você você
é ser
um um
hipócrita hipócrita
religioso religioso
travestido travestido
de de
Cristão cristão
agora agora
eu eu
vou ir
para para
o o
voto voto
do de_o
segmento segmento
esse esse
aqui aqui
é ser
sério sério
presta presto
atenção atenção
Vereador vereador
deputado deputado
estadual estadual
e e
deputado deputado
federal federal
não não
temos ter
eleição eleição
de de
vereador vereador
agora agora
deputado deputado
estadual estadual
e e
Federal federal
preste prestar
atenção atenção
que que
eu eu
vou ir
te tu
falar falar
isso isso
aqui aqui
é ser
esse esse
voto voto
de de
deputado deputado
estadual estadual
e e
deputado deputado
federal federal
é ser
o o
voto voto
da de_o
representação representação
dos de_o
segmentos segmento
sociais social
como como
Cristão cristão
Qual qual
é ser
o o
segmento segmento
social social
mais mais
importante importante
que que
você você
tem ter
ou ou
você você
é ser
evangélico evangélico
ou ou
você você
é ser
católico católico
é ser
o o
segmento segmento
social social
que que
você você
pertence pertencer
Então então
na em_o
hora hora
de de
se se
fazer fazer
as o
leis lei
as o
leis lei
do de_o
estado estado
na em_o
Assembleia assembleia
Legislativa legislativa
as o
leis lei
do de_o
país país
na em_o
Câmara câmara
Federal federal
e e
já já
mostrei mostrar
que que
a o
câmara câmara
alta alto
O o
Senado senado
é ser
o o
voto voto
da de_o
maioria maioria
não não
é ser
voto voto
de de
segmento segmento
então então
se se
você você
é ser
um um
cristão cristão
mais mais
importante importante
para para
você você
é ser
quem quem
representa representar
as o
suas seu
crenças crença
valores valor
e e
fundamentos fundamento
não não
é ser
o o
sindicato sindicato
o o
candidato candidato
a a
deputado deputado
federal federal
do de_o
teu teu
sindicato sindicato
o o
candidato candidato
a a
deputado deputado
federal federal
estadual estadual
do de_o
teu teu
bairro bairro
da de_o
tua tua
cidade cidade
é ser
quem quem
representa representar
suas seu
crenças crença
valores valor
e e
fundamentos fundamento
e e
agora agora
vem vir
mais mais
um um
dado dado
que que
é ser
mais mais
sério sério
do de_o
que que
você você
pensa pensar
o o
voto voto
de de
deputado deputado
estadual estadual
e e
deputado deputado
federal federal
é ser
o o
voto voto
do de_o
quociente quociente
eleitoral eleitoral
o o
que que
que que
é ser
isso isso
você você
pode poder
votar votar
num em_um
irmão irmão
e e
eleger eleger
um um
bandidão bandidão
como como
é ser
que que
é ser
isso isso
Preste prestar
bastante bastante
atenção atenção
o o
quociente quociente
eleitoral eleitoral
é ser
o o
total total
de de
votos voto
válidos válido
dividido dividir
pelo por_o
número número
de de
cadeiras cadeira
no em_o
caso caso
de de
Deputado deputado
Estadual estadual
da de_o
Assembleia assembleia
Legislativa legislativa
no em_o
caso caso
deputado deputado
federal federal
o o
número número
de de
vagas vaga
que que
um um
estado estado
tem ter
na em_o
Câmara câmara
Federal federal
o o
estado estado
rico rico
em em
46 46
Tá estar
certo certo
46 46
vagas vaga
para para
deputado deputado
federal federal
e e
70 70
vagas vaga
para para
Deputado deputado
Estadual estadual
Então então
como como
é ser
que que
é ser
o o
quociente quociente
o o
número número
de de
votos voto
válidos válido
dividido dividir
por por
46 46
aí aí
se se
estabelece estabelecer
o o
quociente quociente
eleitoral eleitoral
então então
por por
exemplo exemplo
se se
o o
quociente quociente
eleitoral eleitoral
é ser
80 80
mil mil
votos voto
para para
Deputado deputado
Federal federal
para para
o o
partido partido
eleger eleger
um um
deputado deputado
federal federal
tem ter
que que
reunir reunir
entre entre
os o
candidatos candidato
80 80
mil mil
votos voto
o o
mais mais
votado votar
a o
vaga vaga
dele de_ele
mas mas
o o
partido partido
fez fazer
160 160
mil mil
votos voto
então então
tem ter
mais mais
uma um
vaga vaga
o o
segundo segundo
mais mais
votado votar
aí aí
o o
partido partido
chamando chamar
o o
voto voto
de de
todo todo
mundo mundo
fez fazer
240 240
mil mil
votos voto
Opa opa
tem ter
três três
vagas vaga
o o
terceiro terceiro
mais mais
votado votar
aí aí
o o
partido partido
fez fazer
320 320
mil mil
votos voto
Opa opa
entra entrar
o o
quarto quarto
agora agora
presta presto
atenção atenção
para para
o o
partido partido
fazer fazer
a o
soma soma
desses de_esse
votos voto
tem ter
um um
cara cara
que que
tem ter
dois dois
mil mil
voto voto
3 3
mil mil
votos voto
quatro quatro
mil mil
votos voto
5 5
mil mil
votos voto
500 500
votos voto
800 800
votos voto
para para
somar somar
para para
o o
quociente quociente
eleitoral eleitoral
então então
preste prestar
atenção atenção
irmão irmão
por por
favor favor
quando quando
você você
vota votar
em em
alguém alguém
que que
depende depender
do de_o
voto voto
de de
outros outro
para para
ser ser
teu teu
voto voto
já já
tá estar
vendido vender
você você
tá estar
voltando voltar
em em
alguém alguém
e e
Vai ir
eleger eleger
o o
outro outro
e e
os o
profissionais profissional
da de_o
política política
que que
controlam controlar
os o
partidos partido
sabem saber
eles eles
fazem fazer
uma um
nominata nominato
não não
bota botar
ninguém ninguém
com com
mais muito
voto voto
do de_o
que que
eles eles
para para
poder poder
somar somar
para para
eles eles
serem ser
eleitos eleger
então então
se se
você você
não não
votar votar
em em
alguém alguém
que que
por por
si si
só só
tem ter
a o
possibilidade possibilidade
de de
alcançar alcançar
o o
quociente quociente
eleitoral eleitoral
por por
si si
só só
você você
vota votar
em em
um um
e e
elege eleger
outro outro
E e
aí aí
os o
malandros malandro
infiltram infiltrar
um um
monte monte
de de
gente gente
no em_o
mundo mundo
evangélico evangélico
muito muito
irmão irmão
coitado coitado
fica ficar
com com
pena pena
vai ir
ter ter
2000 2000
voto voto
1 1
o o
outro outro
vai ir
ter ter
3 3
. .
000 @card@
o o
outro outro
vai ir
ter ter
1500 1500
o o
outro outro
vai ir
ter ter
4000 4000
ninguém ninguém
vai ir
ser ser
eleito eleger
mas mas
vai ir
ajudar ajudar
um um
cara cara
de de
30 30
mil mil
votos voto
a a
ser ser
eleito eleger
E e
você você
tá estar
crente crente
que que
tá estar
abafando abafar
eu eu
vou ir
voltar voltar
aqui aqui
no em_o
meu meu
amiguinho amigo
eu eu
vou ir
estar estar
aqui aqui
nesse em_esse
irmão irmão
aqui aqui
que que
eu eu
gosto gostar
muito muito
dele de_ele
eu eu
tô tô
te tu
mostrando mostrar
como como
é ser
que que
é ser
o o
jogo jogo
como como
é ser
que que
é ser
feito fazer
e e
outra outro
quando quando
eu eu
apresento apresentar
nomes nome
eu eu
não não
tô tô
querendo querer
eleger eleger
alguém alguém
para para
Meus meu
interesses interesse
pessoais pessoal
não não
que que
interesse interesse
pessoal pessoal
que que
que que
tem ter
interesse interesse
pessoal pessoal
em em
que que
eu eu
tô tô
nomeado nomear
aonde aonde
minha meu
mulher mulher
tá estar
nomeada nomear
aonde aonde
Sai sair
fora fora
é ser
para para
exercer exercer
influência influência
Como como
eu eu
faço fazer
ligo ligar
para para
o o
deputado deputado
federal federal
daqui de_aqui
que que
é ser
o o
presidente presidente
da de_o
frente frente
evangélica evangélico
parlamentar parlamentar
e e
digo dizer
filhinho filho
arrebenta arrebentar
nisso em_isso
aí aí
bota bota
para para
quebrar quebrar
nisso em_isso
daqui de_aqui
aí aí
ligo ligar
aqui aqui
para para
o o
deputado deputado
