salmo salmo
sobre sobre
ele ele
toda todo
a o
vossa vosso
ansiedade ansiedade
ele ele
tem ter
cuidado cuidado
de de
voz voz
só só
11 11
5522 @card@
diz dizer
lancho lancho
teu teu
cuidado cuidado
ao a_o
senhor senhor
ele ele
te tu
sus sus
terá ter
nunca nunca
permitirá permitir
que que
o o
justo justo
seja ser
abalado abalar
filipenses filipenses
4 4
6 6
diz dizer
não não
a a
10 10
inquietos inquietar
por por
coisa coisa
alguma algum
antes antes
as o
vossas vossas
petições petição
sejam ser
em em
tudo tudo
só só
conhecidas conhecido
diante diante
de de
deus deus
pelas por_o
orações oração
e e
súplicas súplica
com com
ações ação
de de
graça graça
querido querer
deixou deixar
de de
dar dar
uma um
dica dica
para para
se se
ficar ficar
dizendo dizer
pra pra
deus deus
em em
outros outro
sabe saber
uau uau
que que
novidade novidade
sem sem
outros outro
sabe saber
ei ei
ele ele
quer querer
ouvir ouvir
da de_o
tua tua
boca boca
é ser
porque porque
ele ele
quer querer
irmão irmão
escute escutar
o o
que que
a o
gente gente
é ser
nosso nosso
o o
bocó bocó
escuta escutar
nós nós
então então
vamos ir
ser ser
nós nós
deus deus
sabe saber
tudo tudo
mas mas
ele ele
quer querer
que que
você você
fale falar
porque porque
porque porque
através através
da de_o
verbalização verbalização
é ser
terapêutico terapêutico
quando quando
você você
foi ser
para para
fora fora
ansiedade ansiedade
tuas tuas
angústias angústia
tribulações tribulação
a o
diversidade diversidade
comece começar
o o
processo processo
de de
cura cura
porque porque
o o
camarada camarada
velho velho
psicólogo psicólogo
por por
alguma algum
casa casa
o o
psicólogo psicólogo
dá dar
remédio remédio
não não
porque porque
porque porque
através através
da de_o
verbalização verbalização
você você
está estar
de de
um um
lado lado
o o
psicólogo psicólogo
da de_o
de de
outro outro
ele ele
vai ir
esperando esperar
para para
ver ver
o o
que que
fala falar
e e
dependendo depender
da de_o
técnica técnica
da de_o
experiência experiência
ele ele
vai ir
pensando pensar
atos ato
falhos falhar
enquanto enquanto
você você
está estar
falando falar
aquilo aquilo
que que
você você
deixa deixar
escapar escapar
meio meio
de de
uma um
conversa conversa
ele ele
vai ir
pensando pensar
isso isso
vai ir
te tu
esperando esperar
aí aí
você você
passa passar
50 50
minutos minuto
no em_o
consultório consultório
de de
um um
terapeuta terapeuta
e e
você você
falou falar
quase quase
o o
tempo tempo
inteiro inteiro
confesse confesse
lá lá
é ser
muito muito
bom bom
ele ele
poucas pouco
vezes vez
pincelou pincelou
e e
foi ser
relevante relevante
para para
os o
colocar colocar
pra pra
fora fora
agora agora
deixa deixar
eu eu
te tu
falar falar
uma um
coisa coisa
o o
terapeuta terapeuta
ele ele
formulou formular
uma um
hipótese hipótese
que que
pode poder
está estar
equivocado equivocar
porque porque
o o
terapeuta terapeuta
não não
tenha ter
o o
lhe ele
ciência ciência
nem nem
a o
onipresença onipresença
ele ele
está estar
dentro dentro
de de
você você
e e
ele ele
também também
não não
tinha ter
companhia companhia
24 24
horas hora
e e
o o
ser ser
humano humano
porque porque
é ser
um um
ser ser
inteligente inteligente
tem ter
a o
capacidade capacidade
de de
maquiar maquiar
suas seu
emoções emoção
o o
ser ser
humano humano
tem ter
a o
capacidade capacidade
maquiar maquiar
o o
seu seu
jeito jeito
seu seu
terapeuta terapeuta
pode poder
sambar sambar
na em_o
mão mão
do de_o
cara cara
e e
não não
vai ir
descobrir descobrir
nunca nunca
agora agora
discutir discutir
quando quando
você você
olha olhar
você você
fala falar
com com
deus deus
que que
sabe saber
tudo tudo
entende entender
tudo tudo
conhece conhecer
tudo tudo
e e
que que
pode poder
operar operar
em em
todas todo
as o
áreas área
e e
que que
pode poder
agir agir
em em
todas todo
as o
áreas área
então então
deus deus
quer querer
ouvir ouvir
de de
você você
tudo tudo
que que
está estar
no em_o
meu meu
coração coração
porque porque
isso isso
te tu
ajuda ajudar
porque porque
você você
tá estar
liberando liberar
para para
ele ele
tudo tudo
isso isso
que que
te tu
prende prender
então então
não não
adianta adiantar
você você
dizer dizer
pra pra
deus deus
e e
outros outro
sábios sábio
senhor senhor
tu tu
sabes saber
que que
eu eu
sou ser
chato chato
de de
galocha galocha
senhor senhor
tu tu
sabes saber
que que
eu eu
pagaria pagar
muito muito
curto curto
sem sem
outro outro
sabe saber
que que
o o
tom tom
indignado indignar
com com
esse esse
negócio negócio
e e
outro outro
site site
ele ele
quer querer
te tu
ouvir ouvir
falei falar
com com
ele ele
ele ele
está estar
no em_o
controle controle
então então
diga dizer
tudo tudo
pra pra
ele ele
não não
escondeu esconder
nada nada
até até
que que
você você
quer querer
casar casar
senhor senhor
chopp chopp
a o
serva servo
eu eu
não não
vou ir
ficar ficar
aqui aqui
não não
só só
no em_o
40 40
eu eu
tenho ter
direito direito
a a
ser ser
feliz feliz
manda mandar
um um
varão varão
na em_o
com com
força força
até até
nisso em_isso
falei falar
pra pra
ele ele
o o
que que
é ser
rapaz rapaz
as o
suas seu
petições petição
sejam ser
em em
tudo tudo
conhecida conhecer
diante diante
de de
deus deus
ele ele
está estar
no em_o
se se
deus deus
está estar
no em_o
controle controle
faz fazer
igual igual
davi davi
e e
ele ele
estava estar
falando falar
que que
ele ele
estava estar
no em_o
meio meio
de de
guerra guerra
faça fazer
como como
davino davino
salvo salvo
27 27
versículo versículo
1314 @card@
ofereceria oferecer
sem sem
dúvida dúvida
se se
não não
cresce crescer
que que
veria ver
os o
pés pé
do de_o
senhor senhor
na em_o
terra terra
dos de_o
gigantes gigante
espera esperar
hoje hoje
o o
senhor senhor
anima animar
te tu
ele ele
fortalecerá fortalecer
o o
teu teu
coração coração
esfera esfera
pois pois
do de_o
senhor senhor
porque porque
deus deus
não não
vai ir
fazer fazer
na em_o
hora hora
que que
eu eu
quero querer
nem nem
na em_o
hora hora
que que
você você
quer querer
nem nem
no em_o
dia dia
que que
você você
acha achar
por por
isso isso
que que
ele ele
é ser
deus deus
mas mas
espera esperar
deus deus
está estar
no em_o
controle controle
e e
sabe saber
qual qual
é ser
melhorar melhorar
de de
abrir abrir
a o
porta porta
de de
da de_o
berson berson
e e
de de
operar operar
um um
milagre milagre
terceiro terceiro
se se
deus deus
está estar
no em_o
controle controle
aprenda aprender
a a
isso isso
os o
hotéis hotel
capítulo capítulo
6 6
versículo versículo
11 11
20 20
tornamos tornar
ao a_o
nosso nosso
deus deus
ele ele
nos nós
diz dizer
p p
da de_o
sol sol
e e
luz luz
ara arar
ele ele
fez fazer
a o
ferida ferido
ea ea
ligará ligar
o o
que que
o o
profeta profeta
dizendo dizer
o o
mesmo mesmo
deus deus
que que
permite permitir
que que
eu eu
atravesse atravessar
lutas luta
tempestades tempestade
derrota derrota
de de
amal amal
é ser
o o
mesmo mesmo
deus deus
que que
reverte reverter
tude tude
abre abrir
porta porta
e e
da de_o
vitória vitória
e e
opera operar
milagre milagre
e e
bota botar
o o
capeta capeta
correr correr
e e
na em_o
roça roça
deus deus
inimigo inimigo
ele ele
está estar
no em_o
controle controle
meu meu
filho filho
se se
você você
não não
entender entender
isso isso
meu meu
chapa chapa
aprenda aprender
deus deus
está estar
no em_o
controle controle
e e
ele ele
não não
precisa precisar
mais mais
do de_o
que que
um um
momento momento
para para
operar operar
nem nem
milagre milagre
você você
já já
sabe saber
eu eu
já já
falei falar
aqui aqui
mas mas
governo governo
você você
ainda ainda
não não
ouviu ouvir
o o
momento momento
a a
unidade unidade
indivisível indivisível
de de
tempo tempo
ninguém ninguém
cálculo cálculo
momento momento
que que
calcula calcular
segundo segundo
os o
décimos décimo
em em
tese tese
os o
milésimos milésimo
de de
segundo segundo
momento momento
não não
é ser
unidade unidade
indivisível indivisível
do de_o
tempo tempo
dela de_ela
não não
precisa precisar
mais mais
do de_o
que que
um um
momento momento
para para
abrir abrir
qualquer qualquer
porta porta
para para
pegar pegar
qualquer qualquer
milagre milagre
se se
lembra lembrar
do de_o
centurião centurião
e e
mateus mateus
88 @card@
basta bastar
uma um
a o
lavra lavra
uma um
uma um
palavra palavra
mais mais
do de_o
que que
o o
momento momento
uma um
palavra palavra
pode poder
ter ter
enchido encher
mundo mundo
2 2
segundo segundo
o o
pastor pastor
se se
ainda ainda
não não
me eu
provou provar
que que
deus deus
é ser
deus deus
de de
momento momento
calma calmo
vou ir
chegar chegar
lá lá
bem bem
se se
basta bastar
uma um
palavra palavra
uma um
palavra palavra
cura curar
dois dois
segundos segundo
se se
eu eu
falar falar
a o
palavra palavra
está estar
curado curar
com com
a o
palavra palavra
não não
é ser
uma um
palavra palavra
que que
eu eu
já já
falei falar
dor dor
por por
a o
pelo por_o
menos menos
levou levar
dois dois
segundos segundo
isso isso
aqui aqui
em em
segundo segundo
e e
meio meio
não não
é ser
momento momento
tem ter
mais muito
tempo tempo
mas mas
eu eu
te tu
provo provar
que que
deus deus
não não
chamar chamar
de de
que que
o o
momento momento
salmos salmo
68 68
versículo versículo
4 4
cantai cantar
adeus adeus
novo novo
é ser
aquele aquele
que que
vai ir
sobre sobre
os o
céus céu
pois pois
o o
seu seu
nome nome
é ser
o o
nome nome
de de
deus deus
como como
é ser
que que
é ser
já já
isso isso
é ser
o o
deus deus
que que
faz fazer
é ser
a o
abreviatura abreviatura
de de
jeová jeová
o o
deus deus
que que
tem ter
todo todo
o o
poder poder
para para
operar operar
qualquer qualquer
coisa coisa
em em
todo todo
o o
tempo tempo
o o
seu seu
nome nome
é ser
já já
amanhã amanhã
lá lá
o o
cliente cliente
há haver
dez dez
anos ano
chorando chorar
meu meu
deus deus
não não
vai ir
dar dar
certo certo
aliás aliás
isso isso
aí aí
já já
era era
acabou acabar
para para
ele ele
essa esse
aí aí
pode poder
pode poder
fechar fechar
a o
conta conta
não não
dá dar
a o
porta porta
se se
abre abrir
o o
milagre milagre
acontece acontecer
como como
é ser
que que
pode poder
já já
está estar
funcionando funcionar
jesus jesus
salva salvar
se se
meu meu
marido marido
esse esse
miserável miserável
salvar salvar
esse esse
miserável miserável
filho filho
do de_o
satanás satanás
mas mas
ainda ainda
vou ir
ver ver
como como
filho filho
de de
deus deus
mas mas
é ser
filho filho
do de_o
diabo diabo
hoje hoje
me eu
maltrata maltratar
sabe saber
quebra quebra
tudo tudo
de de
casa casa
salva salvo
assim assim
o o
salva salvar
um um
ano ano
dois dois
anos ano
três três
anos ano
grande grande
assim assim
a o
filha filha
de de
múrcia múrcia
desse de_esse
bandido bandido
e e
se se
a o
dupla dupla
tem ter
muita muito
mulher mulher
lá lá
fora fora
na em_o
não não
eu eu
tenho ter
deus deus
está estar
no em_o
controle controle
torando torar
na em_o
não não
um um
ano ano
dois dois
anos ano
30 30
quando quando
o o
papa papa
medo medo
o o
cara cara
entrega entregar
à a_o
vida vida
cristã cristão
e e
liberta libertar
bebida bebida
transformado transformar
batizará batizará
com com
o o
espírito espírito
santo santo
é ser
batizado batizar
nas em_o
águas água
e e
viu ver
o o
brilho brilho
até até
passar passar
na em_o
inauguração inauguração
da de_o
igreja igreja
de de
realengo realengo
sábado sábado
encontrei encontrar
com com
o o
irmão irmão
na em_o
história história
que que
uma um
história história
real real
que que
já já
falei falar
anos ano
eu eu
anos ano
isso isso
tem ter
anos ano
na em_o
hora hora
de de
20 20
anos ano
vinha vir
eu eu
com com
meu meu
carro carro
cândido cândido
benício benício
sair sair
daqui de_aqui
da de_o
igreja igreja
11 11
pouco pouco
da de_o
noite noite
mesmo mesmo
na em_o
cândido cândido
benício benício
daqui de_aqui
a a
pouco pouco
eu eu
bato bater
num em_um
buraco buraco
com com
as o
do de_o
exterior exterior
os o
dois dois
onze onze
e e
meia meia
da de_o
noite noite
na em_o
cândido cândido
benício benício
aí aí
olhei olhar
100 100
metros metro
um um
posto posto
de de
gasolina gasolina
achar achar
fechado fechar
falei falar
eu eu
não não
vou ir
nem nem
esquentar esquentar
minha meu
cabeça cabeça
2 2
pneu pneu
furado furado
em em
portugal portugal
foi ser
quando quando
kadafi kadafi
for ser
tinha ter
um um
vídeo vídeo
eu eu
falei falar
rapaz rapaz
tocou tocar
o o
pneu pneu
furado furado
se se
quebra quebrar
o o
galho galho
pode poder
deixar deixar
o o
carro carro
que que
ele ele
falou falar
eu eu
abri abrir
a o
corrente corrente
encostei encostei
o o
carro carro
a a
mãe mãe
não não
vem vir
aqui aqui
vou ir
ter ter
que que
trazer trazer
gente gente
tem ter
que que
tirar tirar
dos de_o
pneus pneu
atravessei atravessar
a o
rua rua
pra pra
esperar esperar
um um
táxi táxi
e e
olha olhar
que que
doideira doideira
atravesse atravessar
a o
rua rua
não não
parece parecer
bem bem
dos de_o
pneus pneu
furaram furar
não não
isso isso
aí aí
não não
é ser
coincidência coincidência
então então
vou ir
fazer fazer
uma um
coisa coisa
se se
deus deus
tem ter
um um
propósito propósito
em em
furar furar
esse esse
pneu pneu
ou ou
permitiu permitir
não não
é ser
deus deus
que que
fez fazer
chorar chorar
à a_o
vontade vontade
permissiva permissivo
e e
aprenda aprender
isso isso
vontade vontade
permissivo permissivo
vontade vontade
absoluta absoluto
a o
permissiva permissivo
deus deus
está estar
permitindo permitir
as o
coisas coisa
acontecer acontecer
absoluta absoluto
está estar
interferindo interferir
isso isso
é ser
determinando determinar
céu céu
o o
inferno inferno
arrebatamento arrebatamento
isso isso
aqui aqui
à a_o
vontade vontade
absoluta absoluto
de de
deus deus
agora agora
o o
que que
eu eu
falei falar
' '
se se
deus deus
tem ter
um um
propósito propósito
impax impax
vai ir
parar parar
aqui aqui
na em_o
minha meu
frente frente
onze onze
e e
meia meia
da de_o
noite noite
se se
deixe deixar
algum algum
propósito propósito
nisso em_isso
um um
táxi táxi
vai ir
parar parar
aqui aqui
na em_o
minha meu
frente frente
porque porque
deus deus
tem ter
alguma algum
obra obra
com com
algum algum
cara cara
aí aí
eu eu
parei parar
passa passar
um um
táxi táxi
livre livre
término término
depois depois
eu eu
doido doido
pra pra
fazer fazer
um um
sinal sinal
capaz capaz
olhando olhar
mas mas
fay fay
passa passar
eu eu
falei falar
acho achar
que que
estou estar
ficando ficar
maluco maluco
11 11
49 49
um um
ataque ataque
aqui aqui
eu eu
vou ir
chegar chegar
em em
casa casa
hoje hoje
para para
ele ele
não não
vem vir
um um
outro outro
táxi táxi
o o
cara cara
quase quase
que que
para para
abaixo abaixo
vidro vidro
olha olhar
a o
minha meu
cara cara
eu eu
falei falar
só só
separar separar
e e
diminui diminuir
a o
velocidade velocidade
passa passar
na em_o
minha meu
casa casa
eu eu
falei falar
eu eu
estou estar
ficando ficar
maluco maluco
eu eu
cá cá
comigo com_eu
daqui de_aqui
a a
pouco pouco
meu meu
irmão irmão
vem vir
um um
táxi táxi
para para
na em_o
minha meu
frente frente
e e
desce descer
um um
casal casal
na em_o
minha meu
frente frente
o o
cara cara
vira ver
diz dizer
assim assim
tá estar
precisando precisar
de de
um um
táxi táxi
falei falar
tô tô
entrei entrar
cândido cândido
benício benício
perto perto
do de_o
campinho campo
morando morar
no em_o
recreio recreio
eu eu
falei falar
você você
tá estar
olhando olhar
aquele aquele
carro carro
do de_o
outro outro
lado lado
ele ele
falou falar
ali ali
o o
homem homem
era ser
um um
ômega ômega
você você
está estar
vendo ver
ele ele
foi ser
o o
autor autor
estava estar
nos em_o
dois dois
pneus pneu
furados furar
e e
faltou faltar
por por
tua tua
causa causa
como como
é ser
que que
é ser
tocar tocar
o o
carro carro
aí aí
eu eu
fui ser
falar falar
para para
ele ele
que que
eu eu
estou estar
vendo ver
a o
igreja igreja
bate bater
em em
um um
buraco buraco
às a_o
gols gol
dos de_o
pneus pneu
e e
eu eu
disse dizer
pra pra
deus deus
que que
se se
deixe deixar
algum algum
propósito propósito
que que
deus deus
está estar
no em_o
controle controle
vai ir
permitir permitir
as o
coisas coisa
aconteceram acontecer
deixei deixar
propósito propósito
alguém alguém
um um
táxi táxi
a a
parar parar
na em_o
minha meu
frente frente
mesmo mesmo
quando quando
eu eu
falei falar
isso isso
o o
cara cara
começou começar
a a
chorar chorar
chorar chorar
chorar chorar
chorar chorar
chorar chorar
ele ele
chorou chorar
17 17
minutos minuto
eu eu
deixei deixar
ele ele
chorar chorar
porque porque
não não
aguentava aguentar
fala falar
ele ele
queria querer
falar falar
chorava chorar
e e
queria querer
falar falar
e e
chorava chorar
e e
queria querer
falar falar
e e
chorava chorar
quando quando
ele ele
se se
controlou controlar
o o
pastor pastor
eu eu
fui ser
criado criar
na em_o
igreja igreja
está estar
envolvida envolver
em em
transporte transporte
de de
drogas droga
com com
meu meu
táxi táxi
e e
eu eu
vinha vir
dizendo dizer
que que
a o
deus deus
olha olhar
como como
eu eu
nem nem
eu eu
vinha vir
dizendo dizer
pra pra
deus deus
deus deus
o o
que que
é ser
isso isso
me eu
tira tirar
disso de_isso
eu eu
conheço conhecer
evangelho evangelho
um um
pouco pouco
a a
vida vida
toda todo
atrapalhada atrapalhar
deus deus
tem ter
uma um
coisa coisa
tem ter
alguma algum
resposta resposta
olha olhar
como como
é ser
que que
deus deus
está estar
no em_o
controle controle
das de_o
coisas coisa
em em
resumo resumo
da de_o
ópera ópera
orei orar
com com
ele ele
dentro dentro
do de_o
carro carro
quando quando
cheguei chegar
na em_o
minha meu
casa casa
ou ou
em em
qualquer qualquer
maneira maneira
então então
volta voltar
pra pra
jesus jesus
agora agora
pra pra
acabar acabar
de de
um um
vídeo vídeo
do de_o
confisco confisco
da de_o
lei lei
que que
todo todo
cliente cliente
faz fazer
foi foi
embora embora
oito oito
anos ano
depois depois
eu eu
tô tô
no em_o
culto culto
da de_o
vitória vitória
aqui aqui
na em_o
igreja igreja
antiga antigo
e e
tem ter
um um
cara cara
no em_o
primeiro primeiro
banco banco
de de
terno terno
bacana bacana
não não
é ser
candidato candidato
a a
deputado deputado
mas mas
tá estar
me eu
dando dar
um um
até até
logo logo
toda todo
hora hora
aí aí
fazer fazer
quando quando
acabou acabar
o o
culto culto
ele ele
veio vir
ajudou ajudar
a a
lembrar lembrar
de de
mim eu
não não
vou ir
lembrar lembrar
um um
cara cara
arrumado arrumar
de de
terno terno
bacana bacana
eu eu
sou ser
o o
motorista motorista
do de_o
táxi táxi
que que
deus deus
furou furar
o o
pneu pneu
eu eu
sou ser
pastor pastor
hoje hoje
sábado sábado
ele ele
estava estar
na em_o
inauguração inauguração
da de_o
igreja igreja
em em
realengo realengo
e e
falar falar
comigo com_eu
o o
pastor pastor
como como
é ser
que que
tá estar
pastor pastor
ministro ministro
evangélico evangélico
olha olhar
como como
é ser
que que
deus deus
você você
tá estar
lá lá
você você
está estar
escrevendo escrever
a o
história história
mas mas
eu eu
vou ir
interferir interferir
aqui aqui
vai ir
interferir interferir
aqui aqui
porque porque
ele ele
tem ter
poder poder
nenhum nenhum
momento momento
meu meu
irmão irmão
é ser
mais mais
do de_o
que que
isso isso
em em
um um
momento momento
deus deus
muda mudar
as o
coisas coisa
se se
considere considerar
o o
que que
eu eu
tô tô
te tu
falando falar
quando quando
são ser
83 83
versículo versículo
18 18
assim assim
aquele aquele
que que
só só
ele ele
possui possuir
o o
nome nome
java java
e e
altíssimo alto
sobre sobre
toda todo
a o
terra terra
só só
ele ele
possui possuir
o o
nome nome
de de
jeová jeová
que que
significa significar
o o
nome nome
de de
jeová jeová
um um
deus deus
que que
opera operar
em em
todo todo
o o
tempo tempo
e e
que que
ninguém ninguém
pode poder
impedir impedir
um um
deus deus
que que
tem ter
potencial potencial
pra pra
agir agir
em em
qualquer qualquer
área área
e e
ninguém ninguém
pode poder
impedir impedir
o o
querido querido
deus deus
está estar
no em_o
controle controle
e e
se se
deus deus
está estar
no em_o
controle controle
meu meu
filho filho
eu eu
não não
sei saber
o o
que que
está estar
acontecendo acontecer
com com
você você
mas mas
vou ir
te tu
dar dar
sugestão sugestão
faça fazer
igual igual
acha achar
3 3
mil mil
camelos camelo
roubados roubar
chat chat
mil mil
ovelhas ovelha
queimadas queimar
no em_o
fogo fogo
mil mil
juntas juntas
de de
boi boi
dez dez
filhos filho
mortos morto
o o
diabo diabo
disse dizer
agora agora
não não
guenta guenta
agora agora
ram ram
agora agora
ele ele
a ela
chama chamar
nos nós
sair sair
do de_o
ventre ventre
da de_o
minha meu
mãe mãe
no em_o
tornarei tornar
para para
lá lá
o o
senhor senhor
deu dar
o o
senhor senhor
tirou tirar
bendito bendito
seja ser
o o
nome nome
do de_o
senhor senhor
agora agora
acham achar
depois depois
você você
chega chegar
no em_o
capítulo capítulo
19 19
de de
jó jó
meu meu
irmão irmão
a a
carne carne
dj dj
podre podre
30 30
metros metro
de de
distância distância
sente sentar
o o
cheiro cheiro
fedor fedor
da de_o
carne carne
podre podre
dele de_ele
ele ele
começa começar
a a
fazer fazer
um um
relato relato
dizendo dizer
olha olhar
meus meu
criados criar
não não
me eu
respondem responder
às a_o
crianças criança
fogem fugir
de de
mim eu
acho achar
que que
o o
diabo diabo
tá estar
assim assim
o o
agora agora
vai ir
agora agora
ele ele
nas em_o
fema fema
aí aí
você você
chega chegar
no em_o
versículo versículo
25 25
dj dj
kapisa kapisa
9 9
ele ele
vai ir
dar dar
um um
brasil brasil
deve dever
ter ter
tremido tremer
o o
inferno inferno
uns um
meu meu
redentor redentor
vive viver
e e
que que
por por
fim fim
se se
levantará levantar
sobre sobre
a o
terra terra
e e
ainda ainda
que que
a o
minha meu
carne carne
seja ser
comida comer
nos em_o
meus meu
ossos osso
verei ver
a a
deus deus
agora agora
a a
deus deus
meu meu
irmão irmão
ele ele
está estar
no em_o
controle controle
ele ele
está estar
no em_o
controle controle
adora adorar
adeus adeus
à a_o
briga briga
com com
a o
boca boca
aí aí
exatamente exatamente
aquele aquele
que que
tem ter
o o
domínio domínio
que que
controla controlar
todas todo
as o
coisas coisa
de de
abrir abrir
qualquer qualquer
porta porta
e e
que que
o o
fera fera
qualquer qualquer
milagre milagre
a a
ele ele
a o
glória glória
e e
honra honra
para para
sempre sempre
eu eu
termino terminar
dizendo dizer
pra pra
você você
se se
deus deus
está estar
no em_o
controle controle
e e
entrega entregar
a o
sua seu
vida vida
ele ele
porque porque
só só
ele ele
tem ter
poder poder
de de
dar dar
vida vida
eterna eterno
entrega entregar
o o
teu teu
caminho caminho
ao a_o
senhor senhor
confia confiar
nele em_ele
eo eo
mais mais
ele ele
fará fazer
eu eu
não não
tô tô
falando falar
aqui aqui
pra pra
você você
entregar entregar
sua seu
vida vida
me eu
nem nem
a a
minha meu
religião religião
a a
minha meu
igreja igreja
eu eu
preguei preguei
hora hora
nenhuma nenhum
sobre sobre
religião religião
sobre sobre
igreja igreja
eu eu
estou estar
dizendo dizer
que que
você você
precisa precisar
entregar entregar
sua seu
vida vida
a a
deus deus
porque porque
só só
ele ele
pode poder
cuidar cuidar
de de
você você
como como
ninguém ninguém
chore chorar
pode poder
perdoar perdoar
os o
pecados pecado
só só
ele ele
pode poder
quebrar quebrar
a o
cadeia cadeia
que que
envolve envolver
ele ele
pode poder
dar dar
directamente directamente
salvar salvar
entrega entregar
sua seu
vida vida
ele ele
porque porque
se se
deus deus
poderoso poderoso
tremendo tremendo
incomparável incomparável
majestoso majestoso
glorioso glorioso
único único
verdadeiro verdadeiro
está estar
no em_o
controle controle
de de
todas todo
as o
aí aí
a o
claro claro
ea ea
honra honra
para para
todos todo
sempre sempre
amei amar
a o
igreja igreja
de de
pé pé
por por
favor favor
eu eu
vou ir
fazer fazer
duas dois
orações oração
e e
uma um
para para
dois dois
grupos grupo
específicos específico
e e
depois depois
uma um
outra outro
por por
um um
motivo motivo
especial especial
que que
a o
gente gente
apresentar apresentar
em em
todos todo
os o
nossos nosso
cultos culto
sobre sobre
alguma algum
área área
da de_o
vida vida
eu eu
vou ir
fazer fazer
uma um
oração oração
aqui aqui
mas mas
a o
primeira primeiro
relação relação
é ser
evidente evidente
que que
eu eu
só só
vou ir
fazer fazer
essa esse
oração oração
se se
você você
quiser querer
porque porque
essa esse
oração oração
não não
depende depender
de de
mim eu
depende depender
de de
você você
se se
você você
de de
fato fato
quer querer
voltar voltar
pra pra
jesus jesus
você você
que que
está estar
afastado afastar
cair cair
de de
viver viver
no em_o
pecado pecado
você você
tem ter
que que
aprender aprender
um um
princípio princípio
quem quem
estabelece estabelecer
as o
regras regra
e e
as o
leis lei
e e
os o
princípios princípio
é é
deus deus
por por
que que
você você
acha achar
que que
a o
bíblia bíblia
diz dizer
em em
romanos romano
14 14
12 12
que que
cada cada
um um
de de
nós nós
dará dar
conta conta
de de
si si
mesmo mesmo
a a
deus deus
só só
dá dar
conta conta
que que
ele ele
que que
é ser
responsável responsável
por por
seus seu
atos ato
deus deus
está estar
no em_o
controle controle
mas mas
você você
está estar
no em_o
comando comando
da de_o
sua seu
vida vida
para para
você você
escolher escolher
decidir decidir
fazer fazer
a o
história história
então então
deus deus
vai ir
pedir pedir
conta conta
das de_o
tuas tuas
escolhas escolha
é ser
isso isso
que que
muita muito
gente gente
enganada enganar
deus deus
pede pedir
conta conta
das de_o
minhas meu
decisões decisão
um um
e e
ele ele
vai ir
me eu
julgar julgar
pelas por_o
minhas meu
escolhas escolha
ele ele
estabelece estabelecer
princípios princípio
e e
regras regra
você você
quer querer
salvação salvação
reconheça reconhecer
que que
é ser
um um
pecador pecador
entrega entregar
chove chover
da de_o
crista crista
obedeça obedecer
a o
minha meu
palavra palavra
que que
eu eu
vou ir
te tu
salvar salvar
eu eu
vou ir
transformar transformar
você você
que que
eu eu
vou ir
te tu
libertar libertar
que que
eu eu
vou ir
dar dar
paz paz
que que
ninguém ninguém
dá dar
que que
eu eu
vou ir
te tu
dar dar
vida vida
abundante abundante
a o
vida vida
de de
alegria alegria
no em_o
meio meio
da de_o
tempestade tempestade
a a
agora agora
quando quando
você você
não não
aceita aceitar
cristo cristo
há haver
um um
princípio princípio
de de
legalidade legalidade
que que
deus deus
respeita respeitar
você você
tá estar
mercê mercê
do de_o
diabo diabo
ele ele
vai ir
roubar roubar
matar matar
e e
destruir destruir
cita citar
a o
mercê mercê
dele de_ele
na em_o
questão questão
da de_o
minha meu
religião religião
é ser
uma um
questão questão
de de
você você
querer querer
deus deus
ou ou
rejeitar rejeitar
deus deus
agora agora
tem ter
outra outro
coisa coisa
muito muito
engraçada engraçar
do de_o
ser ser
humano humano
não não
porque porque
o o
mato mato
um um
roubo roubo
eu eu
não não
faço fazer
mal mal
a a
ninguém ninguém
quem quem
disse dizer
que que
você você
que que
estabelece estabelecer
para para
a o
deus deus
o o
critério critério
você você
não não
roubar roubar
ou ou
matar matar
não não
fazer fazer
mal mal
você você
não não
faz fazer
mais mais
do de_o
que que
obrigação obrigação
só só
porque porque
porque porque
nós nós
somos ser
imagem imagem
e e
semelhança semelhança
de de
deus deus
eu eu
e e
você você
podemos poder
não não
roubar roubar
não não
matar matar
e e
não não
fazer fazer
mal mal
a a
ninguém ninguém
e e
você você
pensa pensar
que que
esse esse
é ser
o o
critério critério
de de
deus deus
não não
o o
critério critério
de de
deus deus
é ser
você você
reconhecer reconhecer
que que
é ser
um um
pecador pecador
se se
arrepender arrepender
dos de_o
seus seu
pecados pecado
entregar entregar
sua seu
vida vida
ele ele
através através
de de
cristo cristo
porque porque
se se
você você
não não
faz fazer
isso isso
você você
da de_o
legalidade legalidade
a a
satanás satanás
eu eu
não não
tô tô
falando falar
de de
minha meu
igreja igreja
aqui aqui
esta este
noite noite
tem ter
gente gente
está estar
precisando precisar
voltar voltar
pra pra
jesus jesus
que que
você você
está estar
dando dar
legalidade legalidade
é ser
o o
diabo diabo
pra pra
fazer fazer
um um
link link
ele ele
está estar
fazendo fazer
na em_o
tua tua
vida vida
aqui aqui
tem ter
pessoas pessoa
honestas honesto
e e
sinceras sincero
que que
estão estar
em em
busca busca
da de_o
verdade verdade
e e
é ser
por por
tua tua
causa causa
que que
deus deus
colocou colocar
essa esse
palavra palavra
no em_o
meu meu
coração coração
porque porque
você você
precisa precisar
ter ter
um um
