amém amém
cara cara
tudo tudo
aqueles aquele
nosso nosso
pessoal pessoal
está estar
na em_o
terra terra
isto isto
é ser
muito muito
bom bom
mas mas
aí aí
jô jô
quando quando
recebe receber
essa esse
notícia notícia
perplexo perplexo
atônito atônito
sem sem
entender entender
nada nada
ele ele
rasga rasgar
sua seu
roupa roupa
se se
joga jogar
na em_o
terra terra
e e
diz dizer
deus deus
deus deus
deus deus
tomou tomar
bendito bendito
seja ser
o o
nome nome
do de_o
senhor senhor
ele ele
não não
blasfemou blasfemar
contra contra
deus deus
o o
diabo diabo
volta voltar
e e
chegou chegar
a o
vez vez
de de
jogar jogar
lá lá
lá lá
meus meu
rj rj
aí aí
o o
diabo diabo
que que
não não
é ser
brincadeira brincadeira
e e
também também
tudo tudo
que que
tem ter
onde onde
vai ir
dar dar
pela por_o
sua seu
própria próprio
vida vida
a a
deus deus
estabelece estabelecer
um um
outro outro
limite limite
tocar tocar
nele em_ele
mas mas
não não
tira tirar
a o
sua seu
vida vida
e e
aqui aqui
um um
parêntese parêntese
na em_o
mensagem mensagem
se se
alguém alguém
pensa pensar
que que
o o
diabo diabo
tem ter
legalidade legalidade
para para
fazer fazer
o o
que que
quer querer
o o
diabo diabo
opera operar
no em_o
limite limite
da de_o
legalidade legalidade
que que
deus deus
permite permitir
ficar ficar
tranquilo tranquilo
tem ter
crente crente
que que
pensa pensar
que que
o o
ideal ideal
para para
tocar tocar
em em
tudo tudo
na em_o
vida vida
dele de_ele
o o
tempo tempo
todo todo
sai sair
java java
porta porta
bateu bater
tamarrado tamarrar
a o
calheta calheta
ana ana
sai sair
na em_o
minha meu
capa capa
de de
cd cd
besteira besteira
rapaz rapaz
aquele aquele
que que
é ser
de de
deus deus
ou ou
o o
maligno maligno
não não
me eu
toca tocar
e e
se se
tocar tocar
no em_o
caso caso
de de
já já
o o
caso caso
de de
jóia jóia
onu onu
na em_o
bíblia bíblia
e e
aprendam aprender
um um
princípio princípio
da de_o
interpretação interpretação
o o
único único
caso caso
não não
pode poder
se se
tornar tornar
regra regrar
você você
não não
faz fazer
regra regra
da de_o
bíblia bíblia
de de
um um
caso caso
ali ali
foi ser
uma um
permissão permissão
de de
deus deus
para para
nos nós
ensinar ensinar
alguma algum
coisa coisa
importante importante
porque porque
deu dar
não não
permite permitir
jogos jogo
aí aí
tocando tocar
em em
todo todo
o o
mundo mundo
é ser
uma um
única único
passagem passagem
na em_o
bíblia bíblia
não não
tem ter
duas dois
então então
um um
não não
é ser
regra regra
e e
aí aí
o o
diabo diabo
toca tocar
joga jogar
uma um
chaga chaga
maligna maligno
da de_o
cabeça cabeça
até até
a o
planta planta
do de_o
pé pé
segundo segundo
os o
estudiosos estudioso
a a
alguns algum
metros metro
de de
distância distância
sentir sentir
o o
cheiro cheiro
podre podre
vem vir
a o
mulher mulher
de de
jorge jorge
vi ver
aquela aquele
situação situação
perdeu perder
o o
filho filho
pedro pedro
henrique henrique
biojó biojó
amaldiçoe amaldiçoar
se se
teu teu
deus deus
e e
morre morrer
eu eu
acho achar
que que
o o
inferno inferno
parou parar
de de
novo novo
e e
jovem jovem
dizer dizer
para para
mulher mulher
é ser
tão tão
louca louco
receberia receber
o o
bem bem
do de_o
seu seu
e e
não não
receberia receber
o o
mal mal
e e
diz dizer
a o
bíblia bíblia
no em_o
capítulo capítulo
2 2
que que
em em
tudo tudo
isso isso
jó jó
não não
blasfemou blasfemar
não não
pecou pecar
com com
a o
sua seu
boca boca
depois depois
vêm vir
três três
amigos amigo
de de
jó jó
e e
começam começar
a a
fazer fazer
acusações acusação
tentando tentar
entender entender
aquilo aquilo
que que
já já
não não
estava estar
sabendo saber
e e
esse esse
é ser
o o
problema problema
deixou deixar
de de
dar dar
uma um
palavrinha palavra
aqui aqui
com com
todo todo
respeito respeito
quando quando
deus deus
não não
te tu
mandar mandar
dizer dizer
nada nada
calar calar
a o
boca boca
mas mas
não não
crê crer
na em_o
vida vida
de de
ninguém ninguém
não não
não não
vendam vender
mais mais
de de
santo santo
quero querer
falar falar
é ser
meu meu
irmão irmão
olha olhar
esse esse
a o
mão mão
de de
deus deus
sobre sobre
você você
deixa deixar
autorizou autorizar
falar falar
deus deus
mandou mandar
falar falar
fecha fechar
essa esse
panela panela
não não
fale falar
para para
uma um
pessoa pessoa
que que
tem ter
uma um
palavra palavra
sua seu
pode poder
destruir destruir
a o
vida vida
de de
uma um
pessoa pessoa
uma um
palavra palavra
a a
sua seu
pode poder
descansar descansar
uma um
família família
cuidado cuidado
com com
o o
que que
você você
fala falar
os o
amigos amigo
de de
jovem jovem
ramon ramon
vieram vir
dando dar
uma um
mini mini
jóia jóia
iria ir
ter ter
um um
pecado pecado
jó jó
vocês você
agradeço agradecer
a a
deus deus
o o
palco palco
mel mel
cima cima
do de_o
cara cara
aí aí
você você
chega chegar
no em_o
capítulo capítulo
19 19
a o
síntese síntese
jó jó
começa começar
a a
falar falar
do de_o
seu seu
estado estado
eu eu
chamo chamar
pelos por_o
meus meu
criados criado
eles eles
não não
me eu
atendem atendar
as o
crianças criança
fogem fugir
de de
mim eu
acho achar
que que
já já
aviso aviso
ao a_o
agora agora
ele ele
vai ir
negar negar
a a
deus deus
agora agora
ele ele
vai ir
melhorar melhorar
porque porque
o o
bicho bicho
tá estar
pegando pegar
tomando tomar
tudo tudo
dele de_ele
tocando tocar
nele em_ele
é ser
cabível cabível
ele ele
tá estar
podre podre
está estar
doente doente
a o
mulher mulher
dele de_ele
não não
quer querer
mais mais
saber saber
dele de_ele
agora agora
em em
brasília brasília
mas mas
você você
chega chegar
no em_o
méxico méxico
25 25
que que
eu eu
digo dizer
que que
é ser
uma um
bomba bomba
no em_o
inferno inferno
de de
quem quem
mesmo mesmo
está estar
atônito atônito
perplexo perplexo
sem sem
entender entender
as o
adversidades adversidade
entendeu entender
mal mal
se se
entender entender
coisa coisa
ruim ruim
jorge jorge
sá sá
sim sim
hum hum
eu eu
sei saber
que que
o o
meu meu
redentor redentor
vive viver
e e
que que
por por
fim fim
se se
levantará levantar
a ela
sobre sobre
a o
guerra guerra
nos em_o
meus meu
ossos osso
eu eu
verei ver
a a
deus deus
eu eu
conheço conhecer
deus deus
tem ter
alguma algum
coisa coisa
que que
está estar
acontecendo acontecer
e e
que que
eu eu
não não
entendo entender
mesmo mesmo
eu eu
perplexo perplexo
eu eu
não não
vou ir
desanimar desanimar
eu eu
não não
vou ir
entregar entregar
os o
pontos ponto
eu eu
estou estar
dizendo dizer
aqui aqui
uma um
palavra palavra
para para
alguém alguém
que que
está estar
vivendo viver
um um
momento momento
que que
não não
está estar
entendendo entender
pau pau
quebrando quebrar
e e
você você
é ser
honesto honesto
você você
a a
direito direito
você você
não não
faz fazer
mal mal
a a
ninguém ninguém
você você
pode poder
tentar tentar
se se
entender entender
desanimado desanimar
nunca nunca
olha olhar
o o
que que
você você
é ser
eu eu
vou ir
mostrar mostrar
duas dois
figuras figura
de de
animais animal
para para
classificar classificar
você você
habacuque habacuque
capítulo capítulo
3 3
a a
partir partir
do de_o
versículo versículo
17 17
ainda ainda
que que
a o
figueira figueira
não não
floresça florescer
não não
haja haver
fruto fruto
navid navid
o o
produto produto
de de
oliveira oliveira
minta mentir
os o
campos campo
não não
produzam produzir
mantimento mantimento
as o
ovelhas ovelha
da de_o
malhada malhado
seja ser
arrebatada arrebatar
e e
nos em_o
currais curral
não não
haja haver
um um
vaca vaca
eu eu
todavia todavia
me eu
alegrar alegrar
e e
no em_o
senhor senhor
resultar resultar
em em
o o
deus deus
da de_o
minha meu
salvação salvação
ele ele
me eu
fará fazer
os o
meus meu
fecho fecho
da de_o
minha meu
altura altura
e e
como como
das de_o
servas servo
você você
já já
viu ver
quanto quanto
à a_o
desgraça desgraça
habacuque habacuque
está estar
falando falar
já já
viu ver
tanta tanto
desgraça desgraça
não não
floresce florescer
não não
dá dar
fruto fruto
não não
tem ter
mantimento mantimento
ovelha ovelha
arrebatada arrebatar
gado gado
roubado roubar
não não
dá dar
pra pra
entender entender
isso isso
eu eu
vou ir
ser ser
como como
as o
servas servo
conserva conservar
ou ou
femininos feminino
erva erva
é ser
aquela aquele
aquele aquele
tipo tipo
de de
animal animal
daquele de_aquele
bicho bicho
chifrudo chifrudo
tá estar
certo certo
os o
servos servo
tem ter
uma um
coisa coisa
é ser
o o
segundo segundo
animal animal
em em
velocidade velocidade
ele ele
só só
perde perder
pra pra
um um
parente parente
de de
leopardo leopardo
só só
ele ele
é ser
o o
segundo segundo
agora agora
ele ele
tem ter
algumas algum
características característica
o o
cervo cervo
parece parecer
até até
que que
tem ter
bola bola
nos em_o
pés pé
ele ele
consegue conseguir
da de_o
puro puro
parado parar
e e
ele ele
em em
velocidade velocidade
ele ele
dá dar
puro puro
de de
três três
metros metro
e e
meio meio
a a
15 15
agora agora
tem ter
outra outro
característica característico
como como
ele ele
tem ter
muita muito
velocidade velocidade
ele ele
tem ter
uma um
capacidade capacidade
de de
manobra manobra
é ser
incrível incrível
ele ele
consegue conseguir
quando quando
ele ele
está estar
sendo ser
perseguido perseguir
por por
um um
leão leão
leopardo leopardo
ou ou
por por
um um
outro outro
animal animal
um um
felino felino
que que
adora adorar
carne carne
dele de_ele
ele ele
consegue conseguir
dar dar
a o
guinada guinada
as elas
em em
alta alto
velocidade velocidade
sem sem
derrapar derrapar
isso isso
já já
viu ver
filmes filme
da de_o
geográfica geográfico
de de
tantos tanto
outros outro
o o
bicho bicho
vem vir
daqui de_aqui
a a
pouco pouco
ele ele
dá dar
uma um
guinada guinada
fogo fogo
e e
não não
de de
rafa rafar
mas mas
o o
outro outro
irmão irmão
não não
tem ter
mobilidade mobilidade
é ser
k k
porta portar
escorrega escorrega
méxico méxico
funciona funcionar
a o
terra terra
você você
é ser
servo servo
você você
servo servo
você você
não não
vai ir
ficar ficar
perplexo perplexo
você você
não não
vai ir
ficar ficar
tonito tonito
você você
vai ir
andar andar
sobre sobre
as o
suas seu
alturas altura
você você
vai ir
pular pular
isso isso
você você
vai ir
transportar transportar
isso isso
você você
vai ir
ter ter
mais muito
velocidade velocidade
para para
sair sair
disso de_isso
do de_o
que que
qualquer qualquer
outro outro
e e
um um
outro outro
animal animal
que que
tinha ter
exemplifica exemplificar
pra pra
você você
não não
desanimar desanimar
é ser
o o
que que
tem ter
isaías isaías
capítulo capítulo
40 40
parte parte
do de_o
versículo versículo
28 28
não não
sabes saber
não não
ouviste ouvir
que que
o o
senhor senhor
tô tô
dos de_o
confins confim
da de_o
terra terra
não não
se se
cansa cansar
nem nem
se se
fala falar
diga dizer
e e
que que
não não
a a
esquadrinhar esquadrinhar
ação ação
em em
seu seu
coração coração
da de_o
força força
alcançado alcançar
e e
renova renovar
as o
forças força
do de_o
que que
não não
tem ter
nenhum nenhum
vigor vigor
o o
jovem jovem
se se
cansaram cansar
e e
se se
praticaram praticar
e e
os o
mancebos mancebo
caíram cair
mas mas
os o
que que
esperam esperar
no em_o
senhor senhor
renovaram renovar
as o
suas seu
forças força
sobre sobre
não não
com com
asas asa
como como
de de
águia águia
caminharam caminhar
e e
não não
se se
cansaram cansar
ocorrerá ocorrer
o o
irmão irmão
se se
praticaram praticar
que que
você você
águia águia
a o
águia águia
não não
tem ter
medo medo
de de
tempestade tempestade
ela ela
passa passar
por por
cima cima
ou ou
ela ela
surfa surfa
por por
dentro dentro
as o
outras outro
aves ave
cair cair
fora fora
de de
tempestade tempestade
h h
não não
ela ela
passa passar
por por
cima cima
surfa surfa
aprofundando aprofundar
a o
tempestade tempestade
se se
a o
área área
de de
10 10
mil mil
metros metro
de de
altura altura
onde onde
um um
bong bong
águia águia
voa voar
até até
10 10
mil mil
metros metro
de de
altura altura
a o
águia águia
não não
faz fazer
seu seu
minho minho
interno interno
da de_o
baixo baixo
só só
em em
alta alta
as o
rochas rocha
você você
a o
águia águia
você você
não não
deve dever
se se
você você
sobe subir
a o
perplexidade perplexidade
dos de_o
problemas problema
não não
travam travar
você você
você você
sobe subir
mais mais
alto alto
flex flex
huchim huchim
desanimado desanimar
não não
deus deus
te tu
trouxe trazer
aqui aqui
esta este
noite noite
ele ele
ea ea
nova novo
duas dois
forças força
ele ele
te tu
dá dar
forças força
pra pra
você você
continuar continuar
sua seu
marcha marcha
em em
alta alto
velocidade velocidade
nada nada
vai ir
te tu
parar parar
nada nada
vai ir
travar travar
você você
mesmo mesmo
que que
você você
não não
entenda entender
deus deus
está estar
no em_o
controle controle
de de
todas todo
as o
coisas coisa
o o
terceiro terceiro
limite limite
que que
deus deus
dá dar
é ser
através através
do de_o
apóstolo apóstolo
paulo paulo
perseguidores perseguidor
sim sim
desamparados desamparar
não não
se se
pode poder
dizer dizer
a o
bíblia bíblia
diz dizer
em em
mateus mateu
28 28
20 20
quando quando
jesus jesus
declara declarar
este este
que que
estou estar
convosco com_vós
todos todo
os o
dias dia
até até
à a_o
consumação consumação
dos de_o
séculos século
presença presença
de de
jesus jesus
não não
é ser
apenas apenas
alguém alguém
que que
está estar
junto junto
de de
você você
a o
presença presença
de de
jesus jesus
indica indicar
provisão provisão
proteção proteção
e e
cuidado cuidado
você você
não não
está estar
desamparada desamparar
nunca nunca
você você
não não
está estar
desamparada desamparar
nunca nunca
e e
você você
você você
é ser
certa certo
a a
deus deus
o o
apóstolo apóstolo
paulo paulo
em em
segundo segundo
timóteo timóteo
3 3
11 11
eles eles
assim assim
perseguições perseguição
e e
aflições aflição
das de_o
quais qual
me eu
acontecer acontecer
antioquía antioquía
ícone ícone
listra listrar
quando quando
as o
perseguições perseguição
que que
sofri sofrer
mas mas
o o
senhor senhor
de de
toda todo
me me
livro livro
eu eu
tô tô
falando falar
do de_o
apóstolo apóstolo
paulo paulo
foi ser
perseguido perseguir
e e
no em_o
versículo versículo
seguinte seguinte
que que
é ser
o o
12 12
ele ele
diz dizer
todos todo
os o
que que
querem querer
viver viver
piamente piamente
em em
cristo cristo
padeceram padecer
perseguições perseguição
sequer sequer
de de
vida vida
limpa limpo
se se
prepara preparar
que que
o o
couro couro
vai ir
comer comer
em em
cima cima
de de
você você
você você
quer querer
viver viver
a o
plenitude plenitude
do de_o
evangelho evangelho
da de_o
vida vida
cristã cristão
se se
prepara preparar
para para
ser ser
perseguido perseguir
é ser
meu meu
querido querido
agora agora
deixa deixar
eu eu
te tu
falar falar
o o
chá chá
de de
21 21
famosos famoso
salmo salmo
121 @card@
e e
levo levar
os o
meus meu
olhos olho
para para
os o
montes monte
de de
onde onde
virá vir
o o
socorro socorro
o o
meu meu
socorro socorro
vem vir
do de_o
senhor senhor
que que
fez fazer
os o
céus céu
ea ea
terra terra
ele ele
não não
deixará deixar
a a
vacilar vacilar
o o
teu teu
pé pé
aquele aquele
que que
guarda guardar
não não
tô tô
sic sic
energizar energizar
a a
cochilar cochilar
eis eis
que que
não não
tô tô
sic sic
em em
geral geral
guarda guarda
de de
israel israel
o o
senhor senhor
é ser
quente quente
guarda guardar
ele ele
é ser
a o
tua tua
sombra sombra
tua tua
direita direita
o o
sol sol
no em_o
último último
estará estar
de de
dia dia
nem nem
a o
lua lua
da de_o
noite noite
o o
senhor senhor
que que
guardará guardar
de de
todo todo
mal mal
ele ele
guardará guardar
a o
tua tua
alma alma
o o
senhor senhor
guardar guardar
a o
tua tua
entrada entrada
ea ea
tua tua
saída saída
desde desde
agora agora
e e
para para
sempre sempre
amém amém
já já
fez fazer
uma um
análise análise
rápida rápido
do de_o
salmo salmo
primeiro primeiro
que que
deus deus
não não
dorme dormir
nem nem
cochila cochilar
ele ele
está estar
antenado antenado
em em
você você
o o
tempo tempo
inteiro inteiro
segundo segundo
lugar lugar
eu eu
um um
dia dia
fiquei ficar
quebrando quebrar
a o
cabeça cabeça
o o
sol sol
não não
tinha ter
molestado molestar
de de
dia dia
nem nem
a o
lua lua
de de
noite noite
bem bem
sol sol
de de
40 40
graus grau
até até
traz trazer
consegue conseguir
a o
molestá molestá
da de_o
dor dor
de de
cabeça cabeça
você você
sujeito sujeitar
a a
um um
sol sol
de de
40 40
graus grau
mas mas
a o
lua lua
foi ser
nunca nunca
vi ver
ninguém ninguém
tocou tocar
de de
cabeça cabeça
na em_o
lua lua
cheia cheio
ai ai
meu meu
deus deus
essa esse
lua lua
quarto quarto
minguante minguante
o o
sol sol
não não
tinham ter
lei lei
estará estar
de de
dia dia
nem nem
a o
lua lua
de de
noite noite
são ser
linguagem linguagem
figurada figurar
tudo tudo
que que
é ser
do de_o
dia dia
as o
lutas luta
da de_o
vida vida
as o
tribulações tribulação
a a
diversas diversos
coisas coisa
do de_o
dia dia
tudo tudo
que que
é ser
da de_o
noite noite
poder poder
de de
trevas treva
homens homem
maus mau
é ser
isso isso
que que
acredito acreditar
ser ser
o o
sol sol
não não
tinha ter
o o
extra extra
de de
dia dia
e e
de de
noite noite
o o
senhor senhor
é ser
a o
tua tua
sombra sombra
à a_o
tua tua
direita direito
não não
adianta adiantar
mandar mandar
sombra sombra
embora embora
dependendo depender
ainda ainda
da de_o
influência influência
do de_o
grau grau
da de_o
luxo luxo
do de_o
meu meu
corpo corpo
já já
era ser
uma um
sombra sombra
ela ela
tá estar
aqui aqui
ó ó
agora agora
tá estar
na em_o
minha meu
direita direita
na em_o
minha meu
frente frente
dependendo depender
de de
como como
a o
luz luz
bate bater
em em
mim eu
ela ela
produz produzir
assombra assombrar
a o
sombra sombra
não não
te tu
deixa deixar
nunca nunca
este este
é ser
o o
deus deus
que que
quando quando
você você
constitui constituir
como como
o o
senhor senhor
da de_o
sua seu
vida vida
ele ele
é ser
a o
tua tua
sombra sombra
à a_o
tua tua
direita direito
está estar
sempre sempre
com com
você você
agora agora
eu eu
gosto gostar
do de_o
salmo salmo
91 91
e e
da de_o
figura figura
que que
é ser
usada usar
é ser
muito muito
conhecido conhecido
o o
salmo salmo
91 91
aquele aquele
que que
habita habitar
no em_o
esconderijo esconderijo
do de_o
altíssimo alto
direi dizer
do de_o
senhor senhor
ele ele
te tu
livrar livrar
do de_o
laço laço
do de_o
passarinheiro passarinheiro
e e
da de_o
peste peste
perniciosa pernicioso
agora agora
discute discutir
aqui aqui
ele ele
te tu
cobrirá cobrir
quais qual
suas seu
penas pena
e e
debaixo debaixo
das de_o
suas seu
asas asa
está estar
inseguro inseguro
porque porque
a o
sua seu
verdade verdade
é ser
exclusivo exclusivo
do de_o
hotel hotel
não não
temerás temerás
há há
espanto espanto
noturno noturno
santa santo
que que
vai ir
pedir pedir
um um
teste teste
que que
hoje hoje
na em_o
escuridão escuridão
a o
mortandade mortandade
que que
assola assolar
meio-dia meio-dia
mil mil
caíram cair
até até
o o
lado lado
10 10
mil mil
à a_o
tua tua
direita direito
mas mas
tu tu
não não
serás ser
atingido atingir
somente somente
com com
os o
olhos olho
gerais geral
a o
recompensa recompensa
do de_o
ic ic
porque porque
do de_o
senhor senhor
o o
meu meu
refúgio refúgio
e e
um um
altíssimo alto
é ser
a o
tua tua
habitação habitação
linho linho
maude maude
sucederá suceder
nem nem
praga praga
alguma algum
chegar chegar
à a_o
tua tua
tenda tenda
até até
o o
versículo versículo
10 10
agora agora
vou ir
voltar voltar
eu eu
gosto gostar
de de
estar estar
aqui aqui
porque porque
eu eu
conheci conhecer
na em_o
minha meu
casa casa
tac tac
susana susana
lembra lembrar
que que
o o
vizinho vizinho
dona dono
mariana mariano
latinha lata
galinha galo
pintinho pinto
ele ele
te tu
cobrirá cobrir
com com
as o
suas seu
penas pena
e e
debaixo debaixo
das de_o
suas seu
asas asa
estará estar
segura seguro
tá estar
falando falar
exemplificando exemplificar
deus deus
com com
a o
galinha galo
a a
galinha galo
quando quando
tem ter
pinta pinta
um um
novo novo
avião avião
é ser
do de_o
papel papel
dinho dinho
a o
galinha galo
ela ela
anda andar
quase quase
a a
meio meio
aberta abrir
pintinho pinto
debaixo debaixo
da de_o
asa asa
de de
galinha galo
galinha galo
vila vila
leão leão
vem vir
o o
galeão galeão
para para
tentar tentar
pegar pegar
na em_o
mão mão
vai ir
nada nada
ela ela
bota botar
pra pra
arrebentar arrebentar
mas mas
o o
gavião gavião
tem ter
um um
instinto instinto
dele de_ele
aqui aqui
tranquila tranquilo
olhando olhar
lá lá
embaixo embaixo
a o
galinha galo
com com
os o
pintinhos pinto
de de
vez vez
em em
quando quando
tem ter
um um
pintinho pinto
e e
desobediente desobediente
ele ele
se se
afasta afastar
da de_o
galinha galo
e e
o o
cacarejo cacarejo
da de_o
galinha galo
muda mudo
parece parecer
que que
ela ela
está estar
dizendo dizer
para para
a o
copa copa
vem vir
pra pra
cá cá
rapaz rapaz
a a
aeep aeep
rio rio
o o
pintinho pinto
piu piu
piu piu
qual qual
o o
problema problema
toca tocar
avião avião
tá estar
na em_o
área área
vem vir
pra pra
cá cá
você você
aqui aqui
comigo com_eu
ele ele
não não
toca tocar
você você
longe longe
de de
mim eu
eu eu
não não
tenho ter
como como
correto correto
que que
eu eu
tenho ter
outros outro
mas mas
de de
vez vez
em em
quando quando
o o
caminhão caminhão
estava estar
imóvel imóvel
o o
pedido pedido
diz dizer
é ser
pegar pegar
nada nada
se se
ele ele
via ver
o o
corro correr
ele ele
continua continuar
imóvel imóvel
não não
vou ir
dele de_ele
tranquilo tranquilo
daqui de_aqui
a a
pouco pouco
aquele aquele
pontinho ponto
vai ir
se se
distraindo distrair
e e
vai ir
se se
afastando afastar
mais mais
que que
eu eu
tô tô
vendo ver
a o
cena cena
quando quando
ele ele
percebe perceber
que que
o o
tempo tempo
no em_o
seu seu
instinto instinto
de de
velocidade velocidade
de de
descida descida
mesmo mesmo
que que
o o
pintinho pinto
volte voltar
ele ele
vai ir
pegar pegar
ele ele
antes antes
estava estar
da de_o
galinha galo
já já
era ser
então então
ele ele
está estar
aqui aqui
quando quando
ele ele
percebe perceber
que que
o o
pintinho pinto
se se
afastou afastar
de de
um um
nível nível
que que
não não
dá dar
para para
voltar voltar
e e
vem vir
e e
aí aí
meu meu
irmão irmão
pediu pedir
já já
era ser
brother brother
vai ir
você você
essa esse
simplificação simplificação
sair sair
pra pra
sua seu
vida vida
para para
alguém alguém
que que
está estar
aqui aqui
esta este
noite noite
deus deus
tenha ter
avisado avisar
a o
gente gente
está estar
aqui aqui
esta este
noite noite
fica ficar
debaixo debaixo
da de_o
minha meu
proteção proteção
fique ficar
debaixo debaixo
da de_o
minha meu
proteção proteção
me eu
sirva servir
eu eu
cuido cuidar
de de
você você
o o
diabo diabo
é ser
o o
gavião gavião
ele ele
não não
vai ir
te tu
tocar tocar
ele ele
não não
vai ir
atingir atingir
você você
eu eu
sou ser
deus deus
que que
te tu
proteico proteico
você você
é ser
debaixo debaixo
da de_o
minha meu
sasa sasa
não não
tem ter
demônio demônio
não não
tenho ter
me eu
mal mal
que que
vai ir
prevalecer prevalecer
rica rico
fica ficar
aqui aqui
comigo com_eu
eu eu
digo dizer
adult adult
protejo proteger
deus deus
te tu
trouxe trazer
aqui aqui
essa esse
noite noite
e e
pra pra
você você
voltar voltar
debaixo debaixo
da de_o
proteção proteção
que que
do de_o
deus deus
que que
guarda guardar
a o
tua tua
vida vida
e e
qualidade qualidade
você você
ele ele
te tu
cobrirá cobrir
com com
as o
suas seu
pernas perna
debaixo debaixo
das de_o
suas seu
asas asa
estará estar
seguro seguro
a a
se se
deus deus
com com
o o
senhor senhor
da de_o
sua seu
vida vida
você você
tá estar
seguro seguro
o o
meu meu
filho filho
pode poder
vir vir
tripulação tripulação
pode poder
vir vir
a o
diversidade diversidade
pode poder
vir vir
inimigo inimigo
pode poder
vir vir
de de
amal amal
entre entre
você você
e e
deus deus
entre entre
você você
eo eo
inimigo inimigo
de de
deus deus
não não
importa importar
quão quão
perto perto
esteja estar
inimigo inimigo
de de
vez vez
em em
quando quando
vejo ver
o o
irmão irmão
partou partou
história história
por por
mim eu
e e
teve ter
um um
irmão irmão
que que
viu ver
um um
capitão capitão
uns um
do de_o
chifre chifre
um um
enorme enorme
contribuinte contribuinte
a a
transmil transmil
sangue sangue
já já
que que
poderá poder
fazer fazer
a o
parada parada
a a
glória glória
a a
deus deus
na em_o
glória glória
a a
deus deus
está estar
atrás atrás
de de
você você
primeiro primeiro
uma um
boa bom
coisa coisa
que que
você você
não não
tem ter
nada nada
com com
ele ele
o o
irmão irmão
não não
viu ver
o o
diabo diabo
abraçado abraçar
com com
você você
o o
diabo diabo
não não
viu ver
o o
irmão irmão
ouviu ouvir
diabo diabo
sentar sentar
na em_o
mesa mesa
brincando brincar
contigo contigo
civil civil
de de
rabo rabo
furiosos furioso
contra contra
você você
então então
o o
primeiro primeiro
completando completar
glória glória
segundo segundo
lugar lugar
agradeça agradecer
porque porque
entre entre
ele ele
e e
você você
o o
menor pequeno
que que
seja ser
a o
distância distância
a a
deus deus
e e
é ser
deus deus
que que
faz fazer
a o
diferença diferença
entre entre
eu eu
e e
o o
diabo diabo
não não
é ser
outra outro
coisa coisa
não não
entre entre
vocês você
satanás satanás
entre entre
você você
eo eo
inimigo inimigo
de de
deus deus
e e
deus deus
o o
jeová jeová
o o
senhor senhor
todo todo
poderoso poderoso
o o
deus deus
da de_o
guerra guerra
o o
deus deus
que que
cuida cuidar
o o
deus deus
que que
protege proteger
o o
deus deus
que que
providencia providenciar
esse esse
é ser
o o
deus deus
que que
nós nós
servimos servir
e e
nós nós
estamos estar
aqui aqui
para para
exaltar exaltar
o o
seu seu
nome nome
em em
último último
lugar lugar
abatidos abater
sim sim
destruídos destruir
não não
se se
pode poder
dizer dizer
aba aba
pessoa pessoa
batista batista
tem ter
vários vários
motivos motivo
por por
derrotas derrota
coisa coisa
que que
não não
deu dar
certo certo
perdas perda
injustiça injustiça
frustrações frustração
fracasso fracasso
espiritual espiritual
queda queda
espiritual espiritual
frieza frieza
espiritual espiritual
isso isso
tudo tudo
traz trazer
abatimento abatimento
o o
apóstolo apóstolo
paulo paulo
em em
segunda segundo
corinthians corinthians
75 75
ele ele
diz dizer
assim assim
eu eu
quando quando
cheguei chegar
a o
macedônia macedônio
não não
tive ter
descanso descanso
a a
algum algum
por por
fora fora
combates combate
por por
dentro dentro
temores temor
mas mas
deus deus
que que
consola consolar
os o
abatidos abater
paulo paulo
estava estar
batido bater
enfrentando enfrentar
adversidades adversidade
duras duro
lutas luta
ficou ficar
abatido abater
destruído destruir
jamais jamais
abatido abater
sim sim
olha olhar
o o
salmista salmista
do de_o
sono sono
40 40
diferentes diferente
com com
paciência paciência
no em_o
senhor senhor
ele ele
se se
inclinou inclinar
para para
mim eu
e e
ouvi ouvir
o o
meu meu
clamor clamor
tirou tirar
-me eu
de de
um um
lago lago
horrível horrível
de de
um um
charco charco
de de
lodo lodo
depois depois
os o
meus meu
pés pé
sobre sobre
a o
rocha rocha
eu eu
tava tava
amigo amigo
como como
diz dizer
a o
gente gente
aí aí
lascado lascar
totalmente totalmente
abatido abater
um um
charme charme
afundar afundar
mas mas
ele ele
me eu
tirou tirar
de de
lá lá
não não
deixou deixar
eu eu
ser ser
destruído destruir
pelos por_o
abatimentos abatimento
da de_o
vida vida
você você
tem ter
que que
entender entender
isso isso
na em_o
mão mão
você você
tem ter
que que
entender entender
isso isso
provérbios provérbio
2416 @card@
diz dizer
sete sete
vezes vez
cair cair
ao a_o
justo justo
e e
não não
ficará ficar
frustrado frustrar
talvez talvez
você você
chegou chegar
aqui aqui
esta este
noite noite
você você
já já
serviu servir
a a
deus deus
em em
alguma algum
época época
da de_o
sua seu
vida vida
mas mas
hoje hoje
você você
está estar
fracassado fracassar
abatido abater
espiritualmente espiritualmente
mas mas
você você
vê ver
aqui aqui
porque porque
ele ele
vai ir
te tu
levantar levantar
que que
essa esse
noite noite
eu eu
tenho ter
uma um
palavra palavra
pra pra
você você
que que
pelas por_o
lutas luta
e e
adversidades adversidade
da de_o
vida vida
está estar
abatido abater
mas mas
você você
não não
está estar
