domingo domingo
de de
uma um
filiada filiar
da de_o
defrec defrec
é ser
pastor pastor
por por
delegação delegação
que que
é ser
pastor pastor
há há
sol sol
eu eu
queria querer
que que
você você
ouve ouvir
se se
cuidadosamente cuidadosamente
eu eu
vou ir
mostrar mostrar
aqui aqui
botar botar
aqui aqui
nessa em_esse
tela tela
de de
um um
bebê bebê
foi ser
pastor pastor
auxiliar auxiliar
em em
orlando orlar
dirige dirigir
a o
mocidade mocidade
a a
juventude juventude
da de_o
igreja igreja
eo eo
pastor pastor
de de
uma um
ordem ordem
para para
ele ele
ele ele
ficou ficar
indignado indignar
porque porque
porque porque
eu eu
tô tô
fazendo fazer
por por
reino reino
como como
é ser
que que
o o
pastor pastor
não não
quer querer
eu eu
vou ir
colocar colocar
o o
que que
ele ele
colocou colocar
no em_o
livro livro
dele de_ele
e e
nós nós
vamos ir
ler ler
junto junto
para para
você você
entender entender
aquilo aquilo
que que
eu eu
tô tô
falando falar
eu eu
vou ir
ler ler
uma um
vez vez
que que
o o
espírito espírito
santo santo
me eu
esclareceu esclarecer
este este
ponto ponto
ele ele
continuou continuar
john john
quando quando
você você
estiver estar
perante perante
mim eu
em em
julgamento julgamento
pelo por_o
período período
em em
que que
você você
esteve estar
servindo servir
a a
este este
pastor pastor
você você
não não
dará dar
conta conta
primeiramente primeiramente
de de
quantos quanto
jovens jovem
você você
levou levar
a o
salvação salvação
em em
orlando orlar
flórida flórido
você você
é ser
primeiramente primeiramente
será ser
julgado julgar
pela por_o
sua seu
fidelidade fidelidade
ao a_o
pastor pastor
sobre sobre
o o
colo colo
e e
coloquei colocar
por por
que que
você você
acha achar
que que
brown brown
está estar
dizendo dizer
obedecer obedecer
a o
voz voz
os o
pastores pastor
sujeitados sujeitar
a a
ele ele
tem ter
muita muito
gente gente
aqui aqui
enganada enganado
se se
você você
pensa pensar
que que
você você
vai ir
dar dar
conta conta
primeiro primeiro
do de_o
teu teu
trabalho trabalho
neste em_este
departamento departamento
que que
deus deus
vai ir
pedir pedir
conta conta
a o
primeira primeiro
isso isso
a o
primeira primeiro
cota cota
que que
cabe caber
a a
você você
é ser
da de_o
tua tua
obra obra
de de
encher encher
a o
autoridade autoridade
que que
ele ele
constituiu constituir
sobre sobre
você você
é ser
a o
primeira primeiro
conta conta
e e
com com
todo todo
o o
respeito respeito
tem ter
moral moral
pra pra
falar falar
que que
eu eu
servi servir
um um
pastor pastor
durante durante
30 30
anos ano
o o
meu meu
ministério ministério
arrecadava arrecadar
dez dez
vezes vez
mais mais
do de_o
que que
a o
assembléia assembléia
de de
deus deus
da de_o
penha penha
arrecadava arrecadar
eu eu
não não
recebia receber
salário salário
de de
igreja igreja
foi ser
ele ele
foi ser
o o
pastor pastor
que que
me eu
liberou liberar
foi ser
aqui aqui
de de
silas silas
vai ir
cumprir cumprir
o o
que que
deus deus
tem ter
mandado mandar
você você
fazer fazer
você você
está estar
liberado liberar
foi ser
o o
pastor pastor
todas todo
as o
vezes vez
que que
é ser
pregar pregar
fora fora
eu eu
não não
precisava precisar
falar falar
mas mas
eu eu
fazia fazer
isso isso
como como
uma um
auto auto
disciplina disciplina
para para
eu eu
entender entender
que que
ele ele
é ser
a o
autoridade autoridade
sobre sobre
a o
minha meu
vida vida
pastor pastor
eu eu
vou ir
pegar pegar
em em
tal tal
lugar lugar
vai ir
meu meu
filho filho
de de
deus deus
te tu
abençoe abençoar
de de
vez vez
em em
quando quando
o o
pastor pastor
chegava chegar
pra pra
mim eu
assim assim
a ela
silas silas
prega prega
domingo domingo
eu eu
tinha ter
uma um
agenda agenda
quando quando
não não
era ser
um um
estádio estádio
um um
evento evento
grande grande
porque porque
eu eu
sabia saber
que que
toda todo
vez vez
que que
ele ele
pedia pedir
para para
empregar empregar
seus seu
fãs fã
pelo por_o
pastor pastor
eu eu
tô tô
com com
uma um
agenda agenda
está estar
bom bom
vai ir
eu eu
conhecia conhecer
ele ele
acha achar
que que
eu eu
fazia fazer
fiz fazer
isso isso
várias várias
vezes vez
ligava ligar
o o
pastor pastor
dizia dizer
que que
lhe ele
dão dar
eu eu
marquei marcar
com com
vocês você
daqui de_aqui
a a
15 15
dias dia
mas mas
meu meu
pastor pastor
me eu
chamou chamar
pra pra
pegar pegar
aqui aqui
cara cara
quando quando
meu meu
pastor pastor
chama chamar
eu eu
tenho ter
que que
me eu
submeter submeter
eu eu
vou ir
falar falar
na em_o
televisão televisão
eu eu
tinha ter
uma um
outra outro
data data
eu eu
posso poder
nunca nunca
pediu pedir
para para
fazer fazer
isso isso
e e
quando quando
era ser
um um
evento evento
grande grande
que que
envolvia envolver
estádio estádio
massa massa
de de
gente gente
eu eu
disse dizer
é é
pastor pastor
eu eu
tô tô
com com
um um
evento evento
no em_o
estádio estádio
fria fria
vai ir
embora embora
vai ir
embora embora
ele ele
falaria falar
isso isso
todas todo
as o
vezes vez
pra pra
mim eu
porque porque
eu eu
fiz fazer
isso isso
porque porque
é ser
uma um
maneira maneira
de de
disciplinar disciplinar
a a
entender entender
que que
apesar apesar
de de
eu eu
ser ser
famoso famoso
no em_o
brasil brasil
de de
programas programa
de de
televisão televisão
do de_o
ministério ministério
a a
cada cada
das de_o
vezes vez
mais mais
do de_o
que que
a o
igreja igreja
que que
era ser
pastor pastor
mas mas
quando quando
olhava olhar
para para
ele ele
isso isso
aqui aqui
é ser
uma um
autoridade autoridade
espiritual espiritual
sobre sobre
a o
minha meu
vida vida
não não
é ser
um um
super super
nen nen
não não
é ser
um um
fantástico fantástico
não não
é ser
um um
homem homem
sem sem
defeito defeito
nela em_ela
isso isso
ele ele
tem ter
uma um
autoridade autoridade
espiritual espiritual
sobre sobre
a o
minha meu
vida vida
tem ter
gente gente
enganada enganado
tem ter
gente gente
que que
vive viver
no em_o
ativismo ativismo
religioso religioso
da de_o
igreja igreja
pensando pensar
que que
isso isso
é ser
o o
máximo máximo
querido querer
a o
primeira primeiro
coisa coisa
é ser
o o
próprio próprio
escritor escritor
hebreus hebreu
que que
eu eu
já já
citei citar
aqui aqui
obedecer obedecer
a o
voz voz
os o
pastores pastor
nos nós
sujeitarmos sujeitarmos
a a
ele ele
' '
a o
primeira primeiro
coisa coisa
dar dar
conta contar
o o
pastor pastor
que que
delegou delegar
a a
você você
uma um
autoridade autoridade
que que
é ser
dele de_ele
sabe saber
qual qual
é ser
a o
prova prova
é ser
que que
eu eu
posso poder
tirar tirar
qualquer qualquer
um um
de de
qualquer qualquer
posição posição
aqui aqui
a a
qualquer qualquer
hora hora
essa esse
é ser
a o
prova prova
de de
que que
eu eu
tenho ter
autoridade autoridade
legal legal
para para
isso isso
agora agora
para para
me eu
tirar tirar
deus deus
para para
me eu
tirar tirar
deus deus
para para
tirar tirar
você você
eu eu
no em_o
mundo mundo
espiritual espiritual
eu eu
tenho ter
legalidade legalidade
assim assim
você você
não não
dirige dirigir
mais mais
esse esse
departamento departamento
e e
acabou acabar
o o
papa papa
que que
tem ter
legalidade legalidade
duvidosa duvidoso
legalidade legalidade
ou ou
você você
obedece obedecer
e e
abençoar abençoar
ouvir ouvir
um um
rebelde rebelde
e e
se se
arrebenta arrebentar
se se
eu eu
falar falar
aqui aqui
pra pra
vocês você
uma um
coisa coisa
que que
aconteceu acontecer
no em_o
nosso nosso
campo campo
um um
pastor pastor
em em
pernambuco pernambuco
se se
rebelou rebelar
promissor promissor
inteligente inteligente
um um
grande grande
trabalho trabalho
e e
quando quando
ele ele
montou montar
um um
esquema esquema
para para
se se
revelar revelar
e e
para para
dividir dividir
a o
igreja igreja
foi ser
lá lá
e e
quando quando
eu eu
fiz fazer
o o
princípio princípio
da de_o
bíblia bíblia
eu eu
falei falar
você você
vai ir
para para
o o
rio rio
de de
janeiro janeiro
porque porque
eu eu
não não
ia ir
deixar deixar
ele ele
como como
vítima vítima
ele ele
tinha ter
que que
quebrar quebrar
o o
princípio princípio
para para
poder poder
agir agir
dentro dentro
da de_o
legalidade legalidade
aí aí
ele ele
disse dizer
eu eu
não não
vou ir
para para
o o
rio rio
de de
janeiro janeiro
então então
ó ó
eu eu
tenho ter
legalidade legalidade
sobre sobre
ele ele
de de
autoridade autoridade
quando quando
ele ele
diz dizer
que que
não não
vai ir
quebrar quebrar
o o
princípio princípio
então então
eu eu
tenho ter
a a
meu meu
favor favor
eu eu
declarei declarar
eu eu
declarei declarar
na em_o
frente frente
de de
mais mais
de de
50 50
bombeiros bombeiro
e e
do de_o
espírito espírito
santo santo
eu eu
falei falar
pra pra
ele ele
assim assim
em em
24 24
horas hora
se se
você você
não não
voltar voltar
atrás atrás
em em
seu seu
ministério ministério
está estar
destruído destruir
e e
eu eu
tenho ter
legalidade legalidade
de de
deus deus
para para
dizer dizer
isso isso
bem bem
eu eu
não não
pedi pedir
o o
que que
aconteceu acontecer
com com
ele ele
ele ele
está estar
desviado desviar
levou levar
70 70
pessoas pessoa
e e
fechou fechar
a o
igreja igreja
um um
cara cara
promissor promissor
inteligente inteligente
líder líder
capaz capaz
o o
que que
você você
entende entender
isso isso
há haver
muito muito
tempo tempo
na em_o
minha meu
vida vida
então então
não não
escute escutar
povo povo
da de_o
advec advec
quando quando
eu eu
aqui aqui
mar mar
com com
algumas algum
coisas coisa
aqui aqui
é ser
porque porque
eu eu
tô tô
trabalhando trabalhar
na em_o
visão visão
na em_o
unidade unidade
tô tô
trabalhando trabalhar
a o
na em_o
autoridade autoridade
e e
no em_o
que que
engloba englobar
tudo tudo
que que
a o
palavra palavra
de de
deus deus
então então
quando quando
eu eu
estou estar
fazendo fazer
isso isso
é ser
o o
cei cei
o o
movimento movimento
que que
eu eu
estou estar
produzindo produzir
no em_o
mundo mundo
espiritual espiritual
quando quando
eu eu
boto botar
uma um
igreja igreja
na em_o
rua rua
nem nem
o o
fato fato
não não
tem ter
nem nem
tanta tanto
gente gente
pra pra
receber receber
um um
folheto folheto
de de
tantos tanto
não não
é ser
essa esse
mas mas
quando quando
a o
igreja igreja
sai sair
da de_o
quatro quatro
paredes parede
e e
vai ir
pra para_o
rua rua
e e
bota botar
o o
seu seu
pella pella
nós nós
estamos estar
com com
a o
igreja igreja
tem ter
a o
autoridade autoridade
da de_o
igreja igreja
liga ligar
na em_o
terra terra
é ser
ligado ligar
no em_o
céu céu
e e
quando quando
eu eu
boto botar
meu meu
pé pé
nesse em_esse
território território
eu eu
tô tô
sempre sempre
os o
jogos jogo
sai sair
da de_o
frente frente
você você
não não
tem ter
legalidade legalidade
nesse em_esse
bairro bairro
você você
não não
tem ter
legalidade legalidade
sobre sobre
essas esse
famílias família
você você
não não
tem ter
legalidade legalidade
sobre sobre
a o
quarta quarto
esse esse
lugar lugar
eu eu
estou estar
usando usar
um um
princípio princípio
espiritual espiritual
pra pra
quebrar quebrar
a o
legalidade legalidade
de de
satanás satanás
pra pra
que que
o o
reino reino
de de
deus deus
seja ser
estabelecido estabelecer
e e
aí aí
quando quando
convoca convocar
alguma algum
coisa coisa
para para
tudo tudo
não não
tem ter
aula aula
de de
música música
não não
tem ter
saiu sair
de de
coral coral
não não
tem ter
de de
passar passar
para para
todos todo
e e
os o
senhores senhor
que que
comandam comandar
departamentos departamento
que que
são ser
professores professor
diretores diretor
que que
gerenciam gerenciar
áreas área
da de_o
igreja igreja
tem ter
que que
estar estar
aqui aqui
só só
porque porque
porque porque
nós nós
estamos estar
exercitando exercitar
princípios princípio
espirituais espiritual
você você
pensa pensar
que que
eu eu
faço fazer
esses esse
movimentos movimento
porque porque
eu eu
sei saber
que que
eu eu
tô tô
fazendo fazer
a a
trazer trazer
a o
unidade unidade
da de_o
igreja igreja
e e
aí aí
eu eu
cheguei chegar
aqui aqui
é ser
meu meu
filho filho
eu eu
bato bater
o o
olho olho
à a_o
minha meu
mãe mãe
batochio batochio
maceió maceió
eu eu
bati bater
o o
olho olho
é ser
assim assim
falei falar
juventude juventude
de de
pé pé
120 120
jovens jovem
semana semana
passada passado
tinham ter
350 350
jovens jovem
no em_o
retiro retiro
casa casa
deles de_eles
adolescentes adolescente
de de
pé pé
em em
70 70
quer querer
dizer dizer
que que
quando quando
tem ter
um um
evento evento
de de
juventude juventude
de de
adolescente adolescente
sídon sídon
bacana bacana
unido unir
se se
tem ter
um um
sentido sentido
a a
dor dor
aqui aqui
de de
jovens jovem
e e
adolescentes adolescente
só só
eu eu
como como
pastor pastor
líder líder
de de
departamento departamento
aqui aqui
não não
precisa precisar
ficar ficar
preocupado preocupar
quanto quanto
vai ir
custar custar
o o
cantou cantar
o o
hotel hotel
do de_o
cantor cantor
do de_o
pregador pregador
a a
oferta oferta
a o
igreja igreja
banca bancar
aqui aqui
não não
tem ter
caixa caixa
dois dois
de de
ninguém ninguém
nem nem
caixinha caixa
de de
departamento departamento
para para
trazer trazer
a o
unidade unidade
da de_o
igreja igreja
eu eu
falei falar
cadê cadê
cadê cadê
cadê cadê
pilotos piloto
que que
estão estar
aqui aqui
me eu
assistindo assistir
e e
engraçado engraçar
eu eu
tinha ter
vergonha vergonha
porque porque
é ser
o o
seguinte seguinte
se se
a o
igreja igreja
está estar
num em_um
projecto projecto
de de
unidade unidade
ea ea
igreja igreja
na em_o
rua rua
se se
eu eu
vejo ver
a o
igreja igreja
está estar
na em_o
rua rua
e e
deixa deixar
embora embora
um um
pouco pouco
nisso em_isso
para para
o o
ano ano
vai ir
me eu
ver ver
a o
gente gente
vai ir
ser ser
na em_o
ram ram
a o
história história
tinha ter
vergonha vergonha
como como
que que
chamam chamar
faz fazer
parte parte
disso de_isso
o o
cara cara
no em_o
bazar bazar
o o
cara cara
na em_o
farmácia farmácia
o o
senhor senhor
não não
tinha ter
vergonha vergonha
como como
se se
ele ele
não não
tivesse ter
nada nada
a a
ver ver
com com
isso isso
ele ele
não não
sabe saber
claro claro
pastor pastor
não não
tá estar
trabalhando trabalhar
aqui aqui
pastor pastor
com com
uma um
pessoa pessoa
dentro dentro
da de_o
minha meu
casa casa
ok ok
pastor pastor
a a
minha meu
família família
não não
é ser
crente crente
sábado sábado
quem quem
pegar pegar
na em_o
panela panela
sou ser
eu eu
ok ok
eu eu
entendo entender
a o
criança criança
eu eu
não não
sou ser
nenhum nenhum
louco louco
nenhum nenhum
nenhum nenhum
maluco maluco
agora agora
quanta quantum
gente gente
podia poder
tá estar
aqui aqui
tava tava
fazendo fazer
o o
que que
nada nada
estava estar
no em_o
mercado mercado
estava estar
na em_o
farmácia farmácia
estava estar
consertando consertar
o o
carro carro
estava estar
limpando limpar
a o
casa casa
porque porque
não não
entendem entender
princípios princípio
de de
unidade unidade
nem nem
princípios princípio
de de
autoridade autoridade
que que
se se
entender entender
estava estar
aqui aqui
eu eu
quis querer
mostrar mostrar
pra pra
vocês você
porque porque
eu eu
não não
tava tava
com com
500 500
pessoas pessoa
nem nem
conseguem conseguir
eu eu
tava tava
com com
mais mais
de de
mil mil
pessoas pessoa
na em_o
rua rua
com com
bateria bateria
portando portar
pra pra
quebrar quebrar
certo certo
e e
eu eu
estava estar
lá lá
e e
até até
uma um
irmã irmã
falou falar
e e
pastor pastor
eu eu
pensei pensar
que que
já já
está estar
dentro dentro
de de
um um
carro carro
com com
ar ar
condicionado condicionar
guiando guiar
o o
povo povo
falei falar
à a_o
tardinha tarde
dar dar
melhor melhor
cento cento
adianta adiantar
a o
irmãzinha irmão
sempre sempre
foi ser
não não
meu meu
irmão irmão
só só
aqui aqui
na em_o
rua rua
no em_o
entorno entornar
eu eu
não não
estou estar
em em
cima cima
do de_o
trio trio
elétrico elétrico
não não
fiquem ficar
entre entre
alex alex
um um
carro carro
de de
som som
aqui aqui
em em
baixo baixo
com com
vocês você
para para
profetizar profetizar
paramos parar
vários vários
lugares lugar
e e
não não
declaramos declarar
kp kp
do de_o
senhor senhor
jesus jesus
declaramos declarar
pais pai
para para
cada cada
casa casa
repreendê repreendê
-los eles
o o
poder poder
de de
demônios demônio
de de
violência violência
declaramos declarar
prosperidade prosperidade
com com
o o
comércio comércio
gente gente
chorou chorar
gente gente
voltou voltar
pra pra
jesus jesus
já já
porque porque
esse esse
é ser
o o
papel papel
da de_o
igreja igreja
meus meu
irmãos irmão
o o
papel papel
da de_o
igreja igreja
é ser
esse esse
mas mas
temos ter
aí aí
de de
4 4
40 40
essa esse
vida vida
confortável confortável
de de
ar ar
condicionado condicionado
e e
de de
mensagem mensagem
que que
este este
essa esse
barriguinha barriga
porque porque
o o
mundo mundo
está estar
perdido perder
e e
nós nós
temos ter
uma um
palavra palavra
de de
autoridade autoridade
o o
diabo diabo
vem vir
rua rua
onde onde
a o
igreja igreja
chega chegar
o o
thiago thiago
a a
igreja igreja
a a
nossa nosso
que que
teve ter
mini mini
vigília vigília
como como
é ser
que que
um um
povo povo
ficar ficar
até até
duas dois
horas hora
da de_o
manhã manhã
acorda acordar
prá prá
9 9
horas hora
na em_o
igreja igreja
teve ter
igreja igreja
nossa nosso
paixão paixão
nem nem
se se
interessou interessar
por por
um um
megafone megafone
por por
um um
carro carro
de de
som som
é ser
um um
trio trio
elétrico elétrico
e e
um um
carro carro
deixou deixar
hoje hoje
estamos estar
aqui aqui
que que
tem ter
na em_o
rua rua
que que
fazem fazer
propaganda propaganda
só só
contratará contratar
michelle michelle
não não
se se
interessa interessar
só só
porque porque
é ser
que que
a o
nossa nosso
igreja igreja
o o
recado recado
de de
aqui aqui
quando quando
eles eles
estavam estar
assistindo assistir
para para
todas todo
as o
adegas adega
eu eu
peguei pegar
aqui aqui
senão senão
é ser
pegação pegação
essa esse
minha meu
palavra palavra
falei falar
para para
todo todo
mundo mundo
porque porque
é ser
pastor pastor
igrejas igreja
pequena pequeno
nossa nosso
deram dar
um um
show show
à a_o
igreja igreja
às a_o
grandes grande
algumas algum
passaram passar
vergonha vergonha
falei falar
porque porque
a o
mocidade mocidade
estava estar
reunida reunir
11 11
meia-noite meia-noite
trabalho trabalho
9 9
horas hora
da de_o
manhã manhã
então então
estou estar
dizendo dizer
aqui aqui
quem quem
quer querer
trabalhar trabalhar
comigo com_eu
quem quem
quer querer
dirigir dirigir
algum algum
de de
apartamento apartamento
quando quando
eu eu
falar falar
que que
alguma algum
coisa coisa
que que
envolve envolver
a o
unidade unidade
da de_o
igreja igreja
não não
tente tentar
sublevar sublevar
não não
tente tentar
deixar deixar
pra pra
lá lá
porque porque
você você
vai ir
perder perder
esse esse
lugar lugar
de de
confiança confiança
que que
eu eu
te tu
coloquei colocar
porque porque
eu eu
quero querer
dizer dizer
uma um
coisa coisa
competência competência
não não
substitui substituir
a o
obediência obediência
é ser
muito muito
competente competente
tem ter
muita muito
competência competência
na em_o
obediência obediência
cai cair
fora fora
porque porque
competência competência
não não
substitui substituir
o o
midianews midianews
deus deus
é ser
um um
objecto objecto
irmãos irmão
eu eu
já já
peguei pegar
aqui aqui
vou ir
lembrar lembrar
vocês você
qual qual
é ser
a o
coisa coisa
mais mais
importante importante
que que
aconteceu acontecer
entre entre
a o
queda queda
do de_o
homem homem
ea ea
restauração restauração
de de
todas todo
as o
coisas coisa
no em_o
final final
dos de_o
tempos tempo
qual qual
é ser
a o
coisa coisa
mais mais
importante importante
que que
aconteceu acontecer
a o
obediência obediência
de de
cristo cristo
eu eu
já já
disse dizer
para para
vocês você
que que
nem nem
deus deus
escapa escapar
desse de_esse
princípio princípio
qualquer qualquer
ser ser
que que
não não
seja ser
100 100
% %
deus deus
vai ir
ter ter
que que
obedecer obedecer
quando quando
jesus jesus
toma tomar
forma forma
de de
homem homem
ele ele
é ser
deus deus
mas mas
ele ele
é ser
homem homem
então então
não não
é ser
100 100
% %
deus deus
vai ir
ter ter
que que
submeter submeter
de de
sorte sorte
que que
agem agir
voz voz
o o
mesmo mesmo
sentimento sentimento
que que
houve haver
em em
cristo cristo
jesus jesus
e e
que que
chega chegar
em em
forma forma
de de
deus deus
não não
usurpou usurpar
chegou chegar
a a
deus deus
antes antes
aniquilou aniquilar
se se
a a
si si
mesmo mesmo
tomando tomar
a o
forma forma
de de
servo servo
que que
fazendo fazer
semelhante semelhante
aos a_o
homens homem
e e
como como
homem homem
foi ser
obediente obediente
até até
marte marte
e e
morte morte
de de
kanju kanju
pelo por_o
que que
deus deus
o o
exaltou exaltar
soberanamente soberanamente
ele ele
deu dar
um um
nome nome
que que
é ser
sobre sobre
todo todo
o o
nome nome
para para
que que
o o
nome nome
de de
jesus jesus
se se
dobre dobrar
todo todo
joelho joelho
dos de_o
que que
estão estar
nos em_o
céus céu
na em_o
terra terra
embaixo embaixo
da de_o
terra terra
e e
toda todo
língua língua
confesse confesse
que que
jesus jesus
é ser
o o
senhor senhor
até até
jesus jesus
teve ter
que que
obedecer obedecer
esse esse
é ser
o o
princípio princípio
que que
não não
tenha ter
o o
reino reino
de de
deus deus
deus deus
não não
tem ter
mais muito
prazer prazer
em em
nenhuma nenhum
outra outro
coisa coisa
a a
não não
ser ser
na em_o
terça terça
na em_o
obediência obediência
quando quando
você você
desobedece desobedecer
você você
se se
parece parecer
com com
um um
diabo diabo
eu eu
estou estar
falando falar
essas esse
coisas coisa
aqui aqui
irmão irmão
por por
mais mais
rude rude
que que
você você
pode poder
estar estar
achando achar
pastor pastor
só só
está estar
sendo ser
duro duro
mas mas
não não
é ser
porque porque
eu eu
odeio odiar
vocês você
o o
que que
eu eu
quero querer
cortar cortar
o o
pescoço pescoço
você você
tem ter
que que
entender entender
que que
eu eu
tô tô
falando falar
essas esse
coisas coisa
aqui aqui
é ser
porque porque
eu eu
quero querer
que que
deus deus
abençoe abençoar
a o
tua tua
vida vida
a o
tua tua
família família
o o
teu teu
ministério ministério
como como
nunca nunca
sabe saber
por por
quê quê
porque porque
se se
essa esse
igreja igreja
que que
entender entender
unidade unidade
quando quando
digo dizer
entender entender
praticar praticar
visam visar
à a_o
autoridade autoridade
e e
último último
a o
palavra palavra
de de
deus deus
que que
engloba englobar
tudo tudo
se se
nós nós
entendermos entender
isso isso
escuta escutar
a o
minha meu
declaração declaração
não não
haverá haver
limites limite
para para
essa esse
igreja igreja
nem nem
pro pro
povo povo
dessa de_esse
igreja igreja
deus deus
vai ir
levantar levantar
vocês você
e e
vai ir
levar levar
patamares patamar
inimagináveis inimaginável
quer quer
na em_o
vida vida
humana humano
como como
na em_o
vida vida
espiritual espiritual
a o
palavra palavra
agora agora
escolhe escolher
o o
que que
eu eu
vou ir
dizer dizer
pra pra
vocês você
meus meu
amados amado
irmãos irmão
da de_o
dengue dengue
quando quando
alguém alguém
quer querer
uma um
igreja igreja
de de
cura cura
vai ir
por por
valdemiro valdemiro
quando quando
alguém alguém
quer querer
uma um
igreja igreja
diz dizer
puxar puxar
demônio demônio
cury cury
movimento movimento
vai ir
página página
o o
duque duque
quando quando
alguém alguém
vem vir
pra pra
de de
vec vec
igreja igreja
da de_o
palavra palavra
eu eu
disse dizer
hoje hoje
aqui aqui
de de
manhã manhã
pra pra
ensinar ensinar
tudo tudo
que que
é ser
pastor pastor
irmão irmão
igreja igreja
que que
vive viver
de de
movimento movimento
povo povo
que que
gosta gostar
só só
do de_o
movimento movimento
escute escutar
igreja igreja
que que
vive viver
só só
de de
um um
movimento movimento
quando quando
um um
povo povo
descobre descobrir
uma um
outra outro
igreja igreja
que que
tem ter
um um
movimento movimento
maior grande
ele ele
vai ir
embora embora
igreja igreja
que que
o o
povo povo
vive viver
da de_o
palavra palavra
meu meu
filho filho
ele ele
só só
sai sair
dela de_ela
se se
tiver ter
que que
ser ser
transferido transferir
para para
um um
outro outro
lugar lugar
que que
não não
tem ter
uma um
de de
black black
aqui aqui
tem ter
membros membro
aqui aqui
nessa em_esse
igreja igreja
que que
moram morar
a a
100 100
quilômetros quilômetro
daqui de_aqui
então então
aqui aqui
todo todo
domingo domingo
e e
terça terça
feira feira
aqui aqui
tem ter
membros membro
a a
80 80
quilômetros quilômetro
daqui de_aqui
moram morar
80 80
quilômetros quilômetro
aqui aqui
tem ter
membros membro
que que
moram morar
a a
70 70
quilômetros quilômetro
aqui aqui
tem ter
membros membro
que que
morasse morar
você você
não não
sabem saber
que que
mora morar
a a
60 60
quilômetros quilômetro
aqui aqui
nessa em_esse
igreja igreja
de de
membros membro
e e
porque porque
eles eles
vêm vir
aqui aqui
conversa conversa
com com
ele ele
faz fazer
todo todo
leva levar
a a
mal mal
eu eu
não não
guardo guardar
essa esse
farofada farofada
eu eu
não não
aguento aguentar
o o
movimento movimento
meu meu
irmão irmão
eu eu
não não
estou estar
impedindo impedir
do de_o
espírito espírito
santo santo
fazer fazer
o o
movimento movimento
não não
eu eu
estou estar
botando botar
espírito espírito
santo santo
uma um
caixinha caixa
não não
não não
quiser querer
mandar mandar
fogo fogo
rebentar rebentar
tudo tudo
fazer fazer
mesmo mesmo
um um
pau pau
cantar cantar
não não
tem ter
nada nada
contra contra
não não
surpreender surpreender
costal costal
agora agora
o o
problema problema
é ser
que que
esse esse
tipo tipo
de de
povo povo
que que
gosta gostar
de de
movimento movimento
ele ele
acaba acabar
sendo ser
manipulado manipular
por por
que que
quando quando
o o
espírito espírito
santo santo
não não
se se
move mover
o o
pastor pastor
faz fazer
ele ele
morrer morrer
então então
não não
é ser
o o
espírito espírito
santo santo
é ser
a o
manipulação manipulação
eu eu
sei saber
que que
eu eu
estou estar
falando falar
então então
é ser
todo todo
dia dia
nem nem
toda todo
hora hora
mas mas
o o
espírito espírito
santo santo
é ser
livre livre
e e
outra outra
o o
movimento movimento
do de_o
espírito espírito
santo santo
não não
produzem produzir
racionalidade racionalidade
eu eu
não não
consigo conseguir
controlar controlar
eu eu
não não
tô tô
falando falar
de de
estilo estilo
de de
empregador empregador
não não
tô tô
falando falar
isso isso
não não
tem ter
pecado pecar
avalista avalista
a a
nós nós
temos ter
aqui aqui
partilhar partilhar
o o
ímã ímã
é ser
um um
cara cara
é ser
o o
chill chill
dele de_ele
é ser
o o
som som
de de
acij acij
que que
vale valer
aí aí
temos ter
um um
cara cara
mais mais
centrado centrar
eduardo eduardo
gonçalves gonçalves
já já
o o
empregado empregado
mais mais
profundo profundo
mais mais
entrar entrar
eu eu
não não
tô tô
falando falar
do de_o
estilo estilo
do de_o
empregador empregador
que que
anda andar
pra pra
lá lá
e e
pra pra
cá cá
né né
isso isso
aqui aqui
não não
eu eu
tô tô
falando falar
começa começar
a o
gente gente
boa bom
aí aí
começa começar
a a
voar voar
fazia fazer
rodopio rodopio
fazer fazer
um um
reduzida reduzir
já já
que que
não não
vem vir
com com
patah patah
quadra quadra
pra pra
cá cá
não não
eu eu
sei saber
que que
a o
emoção emoção
já já
que que
o o
movimento movimento
do de_o
espírito espírito
do de_o
estreito estreito
de de
livre livre
quem quem
disse dizer
que que
quando quando
o o
espírito espírito
santo santo
10 10
você você
perde perder
o o
controle controle
tem ter
gente gente
até até
que que
cai cair
no em_o
chão chão
se se
é ser
verdade verdade
diante diante
do de_o
poder poder
de de
deus deus
eles eles
de de
próstata próstata
chora chorar
eu eu
sei saber
disso de_isso
mas mas
não não
vim vir
aqui aqui
com com
patah patah
quadra quadra
e e
eu eu
falei falar
aqui aqui
hoje hoje
de de
manhã manhã
pelos por_o
pastores pastor
meu meu
filho filho
o o
povo povo
que que
vem vir
pra pra
de de
vec vec
aqui aqui
o o
que que
aquele aquele
que que
é ser
o o
ó ó
aqui aqui
ó ó
[ [
Aplausos aplauso
] _
porque porque
tem ter
pastor pastor
eu eu
tocando tocar
dure durar
pegando pegar
pesado pesado
num em_um
viró viró
vou ir
fazer fazer
virar virar
a o
encantadora encantador
louvores louvor
do de_o
culto culto
que que
nem nem
todo todo
dia dia
que que
executa executar
fechado fechar
eu eu
tenho ter
experiência experiência
eu eu
vou ir
forçar forçar
a o
barra barra
atenção atenção
nas em_o
mãos mão
o o
lado lado
direito direito
aqui aqui
agora agora
glória glória
gaza gaza
da de_o
loja loja
e e
da de_o
glória glória
não não
agora agora
