bem bem
o o
mal mal
você você
quer querer
usar usar
o o
mal mal
leh leh
putin putin
quebra quebrar
a o
cara cara
é ser
causar causar
o o
mal mal
e e
depois depois
não não
sabe saber
por por
que que
tá estar
acontecendo acontecer
coisas coisa
na em_o
sua seu
vida vida
acha achar
que que
uma um
outra outro
verdade verdade
mateus mateus
26 26
41 41
diz dizer
vigiai vigiai
e e
orai orar
para para
que que
não não
entrem entrar
em em
tentação tentação
porque porque
na em_o
verdade verdade
o o
espírito espírito
está estar
pronto pronto
ea ea
carne carne
é ser
fraca fraco
foi ser
brincar brincar
com com
a o
tua tua
natureza natureza
e e
agora agora
está estar
recebendo receber
a o
recompensa recompensa
engravidou engravidar
né né
engravidou engravidar
engravidou engravidar
de de
um um
cara cara
que que
só só
foi ser
o o
momento momento
nenhuma nenhum
tripulação tripulação
a a
tripulação tripulação
nem nem
na em_o
tribulação tribulação
que que
você você
arrumou arrumar
um um
princípio princípio
que que
vai ir
botó botó
vou ir
tocar tocar
na em_o
cabeça cabeça
do de_o
jogo jogo
de de
portugal portugal
aguentar agüentar
conseqüência conseqüência
havia haver
sequer sequer
a a
princípio princípio
você você
vai ir
atravessar atravessar
eu eu
tô tô
te tu
dando dar
aqui aqui
é ser
uma um
ideia ideia
pra pra
você você
o o
que que
você você
tem ter
que que
fazer fazer
ao a_o
invés invés
de de
você você
ficar ficar
transferindo transferir
responsabilidade responsabilidade
não não
é ser
pra pra
você você
ter ter
uma um
idéia idéia
para para
analisar analisar
quando quando
vem vir
a o
tripulação tripulação
sobre sobre
a o
sua seu
vida vida
uma um
outra outro
coisa coisa
que que
você você
deve dever
fazer fazer
uma um
outra outro
dica dica
que que
eu eu
te tu
dou dar
quando quando
vem vir
a o
tribulação tribulação
verifique verificar
suas seu
possibilidades possibilidade
e e
use usar
o o
seu seu
potencial potencial
verifique verificar
suas seu
possibilidades possibilidade
e e
use usar
seu seu
potencial potencial
talvez talvez
se se
você você
usar usar
seu seu
potencial potencial
você você
vai ir
poder poder
resolver resolver
o o
problema problema
eu eu
estou estar
me eu
lembrando lembrar
que que
temos ter
temos ter
mais muito
histórias história
na em_o
bíblia bíblia
reais real
incríveis incrível
que que
até até
mesmo mesmo
quando quando
o o
impossível impossível
bate bater
na em_o
porta porta
ea ea
pessoa pessoa
usa usar
seu seu
potencial potencial
até até
nisso em_isso
parece parecer
diametralmente diametralmente
oposto oposto
mas mas
até até
nisso em_isso
a o
pessoa pessoa
consegue conseguir
uma um
vitória vitória
e e
um um
milagre milagre
de de
deus deus
a o
mulher mulher
do de_o
fluxo fluxo
de de
sangue sangue
ela ela
usou usar
todo todo
o o
potencial potencial
da de_o
última último
energia energia
que que
ela ela
possuía possuir
pra pra
tocar tocar
em em
jesus jesus
tocarem tocar
jesus jesus
ela ela
tinha ter
que que
fazer fazer
curar curar
era era
com com
jesus jesus
mas mas
se se
ela ela
não não
tocasse tocar
não não
chegasse chegar
onde onde
ele ele
estava estar
não não
é ser
a o
cura cura
ela ela
usou usar
todo todo
o o
seu seu
potencial potencial
para para
resolver resolver
o o
problema problema
uma um
outra outro
coisa coisa
quando quando
você você
usa usar
todo todo
o o
seu seu
potencial potencial
é ser
que que
você você
pode poder
amenizar amenizar
o o
problema problema
igual igual
a a
gideão gideão
malhando malhar
trigo trigo
no em_o
lagar lagar
israel israel
passando passar
fome fome
e e
gideão gideão
salvando salvar
alguma algum
coisa coisa
israel israel
estava estar
passando passar
fome fome
mas mas
eu eu
estava estar
comendo comer
bolo bolo
então então
estava estar
amenizando amenizar
aquela aquele
adversidade adversidade
aquela aquele
tripulação tripulação
outra outro
coisa coisa
quando quando
você você
analisa analisar
a o
situação situação
já já
todo todo
o o
seu seu
você você
se se
estrutura estrutura
pra pra
passar passar
pela por_o
diversidade diversidade
paulo paulo
dizem dizer
filipenses filipenses
4 4
12 12
saí sair
estava estar
abatido abater
a a
e e
sei saber
também também
ter ter
em em
abundância abundância
em em
todas todo
as o
coisas coisa
eu eu
estou estar
destruído destruir
tanta tanto
ter ter
fartura fartura
como como
a a
ter ter
fome fome
tanta tanto
ter ter
abundância abundância
como como
a a
padecer padecer
necessidade necessidade
posso poder
todas todo
as o
coisas coisa
naquele em_aquele
que que
me eu
fortalece fortalecer
isso isso
é ser
eu eu
tô tô
estruturado estruturar
no em_o
meu meu
emocional emocional
no em_o
meu meu
psi psi
que que
eu eu
tô tô
estruturado estruturar
para para
o o
embate embate
eu eu
tô tô
instrui instruir
é ser
estruturado estruturar
para para
a o
folha folha
que que
a o
tribulação tribulação
e e
pra para_o
abundância abundância
que que
a ela
bonança bonançar
a o
bonança bonança
eu eu
tô tô
estruturado estruturar
para para
isso isso
eu eu
tô tô
estruturado estruturar
para para
o o
dia dia
mal mal
eu eu
tenho ter
estrutura estrutura
né né
eu eu
me eu
preparei preparar
pra pra
poder poder
enfrentar enfrentar
eu eu
tô tô
instruindo instruir
eu eu
sei saber
como como
é ser
que que
eu eu
enfrento enfrentar
isso isso
e e
não não
vou ir
naufragar naufragar
você você
tem ter
que que
entender entender
isso isso
que que
lhe ele
dão dar
se se
você você
quer querer
não não
é ser
que que
você você
vai ir
fazer fazer
diante diante
tais tal
tripulações tripulação
da de_o
vida vida
tem ter
uma um
outra outro
dica dica
que que
eu eu
vou ir
te tu
dar dar
o o
aceite aceitar
esse esse
momento momento
de de
vida vida
a a
aceitar aceitar
não não
é ser
se se
entregar entregar
a a
aceitar aceitar
é ser
reconhecer reconhecer
o o
momento momento
não não
fingir fingir
que que
você você
não não
está estar
atravessando atravessar
luta luta
a o
coisa coisa
vai ir
ficar ficar
próprio próprio
ao a_o
lado lado
quando quando
você você
vê ver
jorge jorge
é ser
o o
texto texto
que que
eu eu
li ler
você você
vai ir
lá lá
no em_o
capítulo capítulo
2 2
do de_o
livro livro
de de
jó jó
que que
ele ele
perde perder
tudo tudo
e e
tá estar
com com
uma um
chaga chaga
no em_o
corpo corpo
ea ea
mulher mulher
de de
jorge jorge
samahá samahá
de de
show show
esse esse
teu teu
deus deus
e e
morre morrer
ele ele
disse dizer
uma um
palavra palavra
receberia receber
o o
bem bem
do de_o
senhor senhor
e e
não não
receberia receber
o o
mal mal
que que
ele ele
está estar
dizendo dizer
eu eu
reconheço reconhecer
que que
esse esse
tempo tempo
é ser
de de
mau mau
só só
vitória vitória
pastor pastor
aleluia aleluiar
aleluia aleluia
a a
minha meu
vida vida
a a
gente gente
até até
que que
na em_o
rodada rodada
com com
o o
pé pé
a a
minha meu
vida vida
é ser
só só
vitória vitória
vou ir
te tu
internar internar
pegar pegar
a o
camisa camisa
de de
força força
e e
levar levar
o o
hospital hospital
psiquiátrico psiquiátrico
que que
sua seu
vitória vitória
rapaz rapaz
que que
história história
é ser
essa esse
você você
tem ter
que que
encarar encarar
a o
realidade realidade
da de_o
vida vida
até até
pra pra
você você
tentar tentar
uma um
solução solução
mas mas
é ser
fingir fingir
que que
não não
está estar
acontecendo acontecer
daqui de_aqui
a a
pouco pouco
uma um
coisa coisa
que que
podia poder
ser ser
resolvido resolver
se se
torna tornar
incontrolável incontrolável
e e
vai ir
te tu
levar levar
a o
uma um
derrota derrota
fatal fatal
é ser
meu meu
filho filho
quando quando
vem vir
a o
tribulação tribulação
entenda entender
que que
você você
tá estar
a o
tripulação tripulação
você você
tem ter
que que
entender entender
isso isso
rapaz rapaz
num em_um
não não
muda mudar
não não
tá estar
número número
4 4
se se
você você
está estar
vivendo viver
o o
tempo tempo
de de
tribulação tribulação
eu eu
te tu
dou dar
um um
conselho conselho
não não
se se
isole isolar
é é
melhor melhor
serem ser
dois dois
do de_o
que que
um um
porque porque
terá ter
a o
melhor bom
paga pagar
do de_o
seu seu
trabalho trabalho
não não
é ser
porque porque
é ser
caindo cair
o o
outro outro
levanta levantar
mas mas
ai ai
daquele de_aquele
que que
tiver ter
só só
caindo cair
quem quem
levantará levantar
não não
adianta adiantar
você você
se se
jogar jogar
provérbios provérbio
capítulo capítulo
18 18
versículo versículo
24 24
é ser
muito muito
interessante interessante
o o
versículo versículo
diz dizer
que que
aquele aquele
que que
se se
isola isolar
em em
surgisse surgir
contra contra
a o
verdadeira verdadeiro
sabedoria sabedoria
isso isso
é ser
o o
caso caso
isolado isolar
é ser
um um
ignorante ignorante
e e
último último
versículo versículo
antagônico antagônico
ao a_o
primeiro primeiro
o o
último último
é ser
antagônico antagônico
o o
primeiro primeiro
tá estar
o o
homem homem
que que
tem ter
muitos muito
amigos amigo
pode poder
congratular congratular
se se
por por
que que
a a
amigos amigo
mais mais
chegados chegar
que que
o o
irmão irmão
não não
se se
isola isolar
não não
meu meu
filho filho
tem ter
amigos amigo
de de
amigos amigo
olha olhar
vou ir
dar dar
uma um
dica dica
pra pra
você você
que que
não não
sou ser
eu eu
já já
ouvi ouvir
de de
outros outro
eu eu
vou ir
te tu
dar dar
uma um
dica dica
1 1
é ser
apenas apenas
esse esse
11 11
o o
que que
você você
vai ir
ser ser
daqui de_aqui
a a
cinco cinco
anos ano
entre entre
algumas algum
coisas coisa
uma um
delas de_elas
é ser
importante importante
o o
que que
você você
vai ir
ser ser
daqui de_aqui
a a
cinco cinco
anos ano
depende depender
uma um
delas de_elas
só só
de de
importância importância
os o
relacionamentos relacionamento
que que
você você
construir construir
você você
não não
tem ter
idéia idéia
rapaz rapaz
uma um
pessoa pessoa
não não
quero querer
falar falar
não não
falo falar
nível nível
dela de_ela
é ser
mais mais
baixo baixo
do de_o
que que
o o
meu meu
tal tal
não não
muitas muito
vezes vez
essa esse
pessoa pessoa
é ser
que que
vai ir
abrir abrir
a o
porta porta
pra pra
você você
essa esse
pessoa pessoa
lá lá
na em_o
frente frente
é ser
que que
tem ter
uma um
chave chave
essa esse
pessoa pessoa
que que
lá lá
na em_o
frente frente
vai ir
te tu
dá dar
acesso acesso
a o
uma um
outra outro
que que
vai ir
resolver resolver
um um
a o
preta preto
isso isso
aprenda aprender
e e
seu seu
filho filho
fique ficar
isolado isolar
não não
que que
é ser
isolado isolar
na em_o
hora hora
da de_o
rebenta rebentar
da de_o
parafuseta parafuseta
que que
o o
pacote pacote
vai ir
quebrando quebrar
seu seu
lobo lobo
cadê cadê
quem quem
é ser
que que
vai ir
me eu
ajudar ajudar
com com
quem quem
eu eu
posso poder
contar contar
eu eu
tenho ter
um um
grupo grupo
de de
amigos amigo
os o
mais mais
antigos antigo
nós nós
temos ter
42 42
anos ano
de de
caminhada caminhada
esse esse
grupo grupo
é ser
um um
grupo grupo
de de
14 14
pastores pastor
o o
mais mais
antigo antigo
42 42
anos ano
os o
mais mais
novos novo
os o
três três
mais mais
novos novo
devem dever
ter ter
entre entre
12 12
e e
15 15
anos ano
de de
caminhada caminhar
a o
gente gente
discute discutir
a o
gente gente
briga briga
raquetada raquetada
tesoura tesoura
voadora voador
discorda discordar
brigam brigar
por por
política política
brigam brigar
pelas por_o
questões questão
atuais atual
do de_o
mundo mundo
discordam discordar
um um
dor dor
de de
alguma algum
coisa coisa
que que
a o
gente gente
fala falar
mas mas
somos ser
amigos amigo
há há
paz paz
como como
esses esse
caras cara
já já
me eu
ajudaram ajudar
em em
situações situação
dificílimas difícil
que que
eu eu
passei passar
eu eu
poder poder
pegar pegar
um um
telefone telefone
pediu pedir
uma um
oração oração
e e
dizer dizer
o o
que que
eu eu
tô tô
passando passar
você você
não não
brinca brincar
com com
isso isso
não não
meu meu
irmão irmão
não não
se se
isola isolar
não não
quem quem
são ser
seus seu
amigos amigo
deixa deixar
de de
ser ser
rabugento rabugento
deixa deixar
de de
ser ser
chato chato
dá dar
para para
você você
virar virar
para para
quem quem
está estar
na em_o
sua seu
diretriz diretor
quer querer
dizer dizer
deixa deixar
de de
ser ser
chato chato
vai ir
ficar ficar
como como
fala falar
não não
diz dizer
que que
se se
a o
pessoa pessoa
não não
é ser
ok ok
se se
for ser
recebendo receber
uma um
palavra palavra
em em
quinto quinto
lugar lugar
o o
que que
é ser
que que
a o
gente gente
faz fazer
quando quando
estiver estar
atravessando atravessar
lutas luta
e e
adversidades adversidade
população população
não não
transfira transferir
a o
responsabilidade responsabilidade
não não
a ela
romi romi
bode bode
expiatório expiatório
não não
a a
romi romi
culpado culpar
para para
o o
teu teu
fracasse fracassar
proteus proteus
erros erro
não não
ficar ficar
acusando acusar
não não
tá estar
vendo ver
foi ser
ele ele
foi ser
ela ela
é ser
isso isso
é ser
o o
governo governo
não não
sei saber
quem quem
é ser
a o
minha meu
mãe mãe
e e
minha meu
avó avó
o o
pastor pastor
é ser
o o
diácono diácono
é ser
o o
porteiro porteiro
é ser
o o
colega colega
de de
trabalho trabalho
ou ou
sei saber
lá lá
quem quem
é ser
norma norma
bode bode
expiatório expiatório
não não
assuma assumir
a o
sua seu
responsabilidade responsabilidade
eu eu
acho achar
bacana bacana
a o
história história
de de
neemias neemias
ms ms
estava estar
mais mais
de de
2 2
mil mil
quilômetros quilômetro
de de
jerusalém jerusalém
ele ele
estava estar
na em_o
fortaleza fortaleza
de de
susan susan
servindo servir
ao a_o
rei rei
arthur arthur
chefe chefe
e e
ele ele
vai ir
dizer dizer
assim assim
eu eu
ea ea
minha meu
casa casa
temos ter
pecado pecado
contra contra
ti tu
ele ele
não não
era ser
o o
único único
não não
estava estar
falando falar
por por
que que
israel israel
estava estar
ativo ativo
porque porque
jerusalém jerusalém
estava estar
destruída destruir
ele ele
colocou colocar
a o
culpa culpa
nele em_ele
e e
ele ele
não não
era ser
culpado culpar
sozinho sozinho
ele ele
fazia fazer
parte parte
de de
um um
povo povo
a a
cultura cultura
de de
um um
povo povo
mas mas
é ser
na em_o
coxa coxa
não não
é ser
eu eu
ea ea
minha meu
casa casa
quando quando
o o
pecado pecado
de de
davi davi
foi ser
exposto expor
que que
o o
profeta profeta
natã natã
diz dizer
frange frangir
aquela aquele
história história
das de_o
ovelhas ovelha
né né
botou botar
a o
casca casca
de de
banana banana
e e
davi davi
entrou entrar
bacana bacana
que que
eu eu
falar falar
com com
o o
rei rei
daquele de_aquele
que que
tomar tomar
muito muito
cuidado cuidado
não não
podia poder
perder perder
o o
pescoço pescoço
e e
tomar tomar
uma um
facada facada
no em_o
bucho bucho
e e
que que
a o
dança dança
não não
tinha ter
até até
um um
hospital hospital
perto perto
não não
quando quando
quando quando
o o
profeta profeta
natã natã
conta contar
a o
história história
pra pra
ele ele
o o
homem homem
tinha ter
muitas muito
ovelhas ovelha
ou ou
de de
uma um
velhinha velho
só só
o o
cara cara
que que
tinha ter
muitas muito
ovelhas ovelha
tomou tomar
ao a_o
ver ver
do de_o
que que
só só
tinha ter
uma um
só só
que que
faz fazer
com com
que que
esse esse
homem homem
me eu
mandar mandar
matar matar
me eu
dá dar
a a
ele ele
aqui aqui
que que
é ser
o o
cara cara
é ser
você você
quanto quanto
a o
história história
dele de_ele
que que
ele ele
pegou pegar
a o
mulher mulher
de de
urias urias
ele ele
além além
de de
pegar pegar
mulher mulher
de de
um um
general general
de de
alta alto
fidelidade fidelidade
o o
cara cara
na em_o
frente frente
da de_o
batalha batalha
para para
morrer morrer
ele ele
cometeu cometer
um um
adultério adultério
e e
homicídio homicídio
e e
quando quando
ea ea
história história
seguinte seguinte
a ela
deixa deixar
uma um
história história
um um
pouquinho pouco
a a
casa casa
do de_o
rei rei
geralmente geralmente
era ser
o o
lugar lugar
mais mais
alto alto
significa significar
se se
colocava colocar
no em_o
monte monte
mais mais
alto alto
então então
ele ele
via ver
tudo tudo
que que
estava estar
embaixo embaixo
com com
certeza certeza
ele ele
chegou chegar
na em_o
sacada sacado
do de_o
seu seu
palácio palácio
e e
diz dizer
que que
uma um
mulher mulher
estava estar
tomando tomar
banho banho
nua nu
a o
molécula molécula
do de_o
útero útero
a o
mulher mulher
deste de_este
general general
ela ela
estava estar
numa em_um
piscina piscina
em em
baixo baixo
ele ele
viu ver
quando quando
o o
profeta profeta
chega chegar
para para
davi davi
e e
denuncia denunciar
o o
pecado pecado
dele de_ele
você você
não não
quer querer
da de_o
vida vida
do de_o
profeta profeta
maomé maomé
tinha ter
para para
aí aí
eu eu
queria querer
ver ver
o o
senhor senhor
profeta profeta
na em_o
sacada sacado
do de_o
palácio palácio
com com
aquele aquele
avião avião
pelado pelar
lá lá
tomando tomar
banho banho
eu eu
queria querer
ver ver
se se
você você
é ser
você você
olha olhar
eu eu
sou ser
homem homem
para para
deus deus
vai ir
entender entender
davino davino
arrumou arrumar
desculpa desculpa
não não
arrumou arrumar
desculpa desculpa
não não
botou botar
culpa culpa
da de_o
mulher mulher
quando quando
o o
profeta profeta
denunciou denunciar
o o
pecado pecado
diz dizer
pequei pecar
contra contra
o o
senhor senhor
eu eu
pequei pecar
sou ser
eu eu
que que
estou estar
errado errar
talvez talvez
o o
seu seu
problema problema
você você
vê ver
aqui aqui
deus deus
trouxe trazer
aqui aqui
para para
você você
ouvir ouvir
isso isso
você você
anda andar
transferido transferir
coisas coisa
suas seu
para para
enquanto enquanto
você você
não não
assumir assumir
sua seu
responsabilidade responsabilidade
nesse em_esse
negócio negócio
você você
não não
vai ir
ver ver
acessar acessar
essa esse
luta luta
6º 6º
o o
que que
eu eu
e e
você você
devemos dever
fazer fazer
diante diante
de de
lutas luta
e e
tribulações tribulação
é ser
uma um
palavra palavra
incrível incrível
difícil difícil
pra para_o
caramba caramba
esse esse
negócio negócio
eu eu
confesso confessar
tenha ter
paciência paciência
tenha ter
paciência paciência
né né
a o
pessoa pessoa
paciente paciente
aquela aquele
pessoa pessoa
que que
suporta suportar
a o
dor dor
infortúnios infortúnio
o o
mal mal
sem sem
queixa queixa
com com
resignação resignação
e e
equilíbrio equilíbrio
emocional emocional
esse esse
aqui aqui
é ser
o o
cara cara
paciente paciente
olha olhar
que que
diz dizer
aqui aqui
riches riches
a o
paciência paciência
de de
jó jó
diante diante
de de
tribulação tribulação
tão tão
terrível terrível
de de
ver ver
seus seu
filhos filho
morrerem morrer
de de
uma um
só só
vez vez
dez dez
filhos filho
perder perder
toda todo
a o
sua seu
riqueza riqueza
eo eo
mesmo mesmo
dia dia
e e
ainda ainda
recebeu receber
uma um
enfermidade enfermidade
que que
a o
carne carne
dele de_ele
é ser
podre podre
cia ciar
eu eu
vou ir
dizer dizer
pra pra
você você
o o
que que
é ser
que que
a o
paciência paciência
produz produzir
há há
alguma algum
coisinha coisa
aqui aqui
só só
pra pra
gente gente
se se
localizar localizar
sobre sobre
o o
que que
a o
paciência paciência
porque porque
é ser
importante importante
na em_o
tribulação tribulação
não não
é ser
esse esse
equilíbrio equilíbrio
né né
de de
suportar suportar
algo algo
sem sem
perder perder
a o
causa causa
a a
calma calmo
o o
equilíbrio equilíbrio
emocional emocional
bem bem
primeiro primeiro
a o
paciência paciência
nos nós
livra livrar
da de_o
precipitação precipitação
que que
na em_o
hora hora
do de_o
sufoco sufoco
na em_o
hora hora
que que
o o
pau pau
tá estar
quebrando quebrar
na em_o
hora hora
que que
o o
corpo corpo
está estar
comendo comer
você você
quer querer
sair sair
da de_o
situação situação
e e
acaba acabar
fazendo fazer
bobagem bobagem
talvez talvez
se se
esperasse esperar
mais mais
um um
pouquinho pouco
aguentar agüentar
se se
mais mais
um um
pouco pouco
o o
rojão rojão
não não
faria fazer
besteira besteira
então então
a o
paciência paciência
nos nós
livra livrar
da de_o
precipitação precipitação
isso isso
aqui aqui
é ser
uma um
coisa coisa
que que
a o
paciência paciência
faz fazer
a o
paciência paciência
faz fazer
isso isso
libra libra
agente agente
de de
tomar tomar
uma um
atitude atitude
errada errar
2 2
ajuda ajuda
a a
manter manter
o o
equilíbrio equilíbrio
emocional emocional
olha olhar
que que
coisa coisa
interessante interessante
há haver
duas dois
coisas coisa
em em
nós nó
na em_o
hora hora
do de_o
sufoco sufoco
ansiedade ansiedade
e e
desânimo desânimo
são ser
extremos extremo
a o
ansiedade ansiedade
que que
é ser
tipo tipo
rappa rappa
frente frente
com com
velocidade velocidade
o o
desânimo desânimo
que que
é ser
travar travar
você você
então então
a o
paciência paciência
ela ela
fica ficar
no em_o
meio meio
ela ela
assegura assegurar
uma um
ponta ponta
a a
ansiedade ansiedade
e e
segura seguro
pela por_o
outra outro
o o
desânimo desânimo
é ser
isso isso
que que
a o
paciência paciência
faz fazer
o o
equilíbrio equilíbrio
entre entre
a o
ansiedade ansiedade
e e
o o
desânimo desânimo
porque porque
na em_o
hora hora
da de_o
tripulação tripulação
da de_o
adversidade adversidade
você você
pode poder
ficar ficar
ansioso ansioso
pelo por_o
medo medo
de de
não não
resolver resolver
pela por_o
coisa coisa
que que
está estar
acontecendo acontecer
aquela aquele
sensação sensação
desconfortável desconfortável
diante diante
de de
apreensão apreensão
que que
a o
ansiedade ansiedade
não não
é ser
então então
a o
paciência paciência
ela ela
segura seguro
ansiedade ansiedade
pra pra
não não
correr correr
com com
você você
e e
você você
fazer fazer
bobagem bobagem
e e
também também
segura segurar
o o
desânimo desânimo
pra pra
você você
não não
entregar entregar
os o
pontos ponto
a o
paciência paciência
nos nós
livra livrar
de de
pecar pecar
o o
povo povo
de de
israel israel
no em_o
deserto deserto
mororó mororó
que que
não não
tem ter
paciência paciência
murmuração murmuração
é ser
pecado pecar
amour amour
a a
sapecada sapecada
o o
povo povo
de de
israel israel
lá lá
é ser
co co
agora agora
olha olhar
já já
no em_o
capítulo capítulo
2 2
versículo versículo
10 10
recebia receber
o o
bem bem
do de_o
show show
não não
recebeu receber
mal mal
em em
tudo tudo
isso isso
não não
pecou pecar
com com
a o
sua seu
boca boca
não não
abriu abrir
a o
boca boca
para para
reclamar reclamar
de de
nada nada
porque porque
era ser
paciente paciente
aguentou aguentar
firme firme
para para
de de
murmurar murmurar
meu meu
irmão irmão
para para
de de
reclamar reclamar
da de_o
vida vida
tenha ter
paciência paciência
todo todo
mundo mundo
passa passar
a o
tribulação tribulação
adversidade adversidade
a o
paciência paciência
é ser
o o
princípio princípio
da de_o
caminhada caminhada
da de_o
vitória vitória
romanos romano
5 5
trades tradar
em em
tudo tudo
jogos jogo
ou ou
desculpa desculpa
onishchenko onishchenko
trad trad
tem ter
o o
prazer prazer
na em_o
tribulação tribulação
por por
que que
a o
tribulação tribulação
produz produzir
a o
paciência paciência
o o
primeiro primeiro
a o
paciência paciência
a a
experiência experiência
a a
experiência experiência
a o
esperança esperança
ea ea
esperança esperança
não não
traz trazer
confusão confusão
então então
a o
paciência paciência
é ser
o o
início início
da de_o
caminhada caminhada
para para
a o
vitória vitória
ea ea
paciência paciência
é ser
a o
conclusão conclusão
da de_o
vitória vitória
olha olhar
o o
défice défice
olim olim
vistes ver
a o
paciência paciência
de de
jó jó
e e
qual qual
foi ser
o o
vinda vinda
dele de_ele
a o
paciência paciência
de de
jó jó
levar levar
sua seu
vitória vitória
contra contra
toda todo
aquela aquele
tripulação tripulação
ea ea
então então
a o
paciência paciência
é ser
o o
início início
da de_o
vitória vitória
ea ea
conclusão conclusão
da de_o
sua seu
vitória vitória
segura seguro
a o
onda onda
aguenta aguentar
firme firme
o o
sétimo sétimo
conselho conselho
que que
eu eu
dou dar
pra pra
você você
sabe saber
que que
é ser
de de
jockey jockey
seu seu
olhar olhar
desloca deslocar
teu teu
olhar olhar
escute escutar
eu eu
vou ir
te tu
falar falar
se se
você você
ficar ficar
focado focar
só só
nesse em_esse
problema problema
toda todo
a o
tua tua
energia energia
todo todo
o o
teu teu
ser ser
voltado voltar
só só
para para
esse esse
problema problema
então então
olha olhar
o o
que que
acontece acontecer
a o
sensação sensação
de de
dor dor
aumenta aumentar
você você
já já
reparou reparar
você você
pode poder
estar estar
com com
um um
machucado machucado
grave grave
na em_o
mão mão
em em
seus seu
quase quase
incomodando incomodar
hum hum
aí aí
você você
vai ir
trabalhar trabalhar
você você
desvia desviar
a o
atenção atenção
do de_o
machucado machucado
você você
perde perder
a o
dor dor
aí aí
você você
está estar
trabalhando trabalhar
e e
passa passar
um um
colega colega
e e
diz dizer
assim assim
rapaz rapaz
que que
machucado machucar
feito fazer
é ser
meu meu
irmão irmão
você você
voltou voltar
a o
atenção atenção
então então
filho filho
se se
você você
fica ficar
preso prender
ao a_o
problema problema
a o
sensação sensação
de de
dor dor
aumenta aumentar
se se
você você
ficar ficar
focado focar
nessa em_esse
tribulação tribulação
você você
começa começar
a a
pensar pensar
errado errar
você você
acha achar
que que
só só
você você
tem ter
problema problema
no em_o
mundo mundo
e e
se se
você você
ficar ficar
focado focar
só só
nesse em_esse
problema problema
você você
vai ir
gastar gastar
uma um
energia energia
tão tão
grande grande
que que
podia poder
ser ser
usada usar
pra pra
outras outro
coisas coisa
que que
estão estar
acontecendo acontecer
de de
ball ball
masquê masquê
você você
está estar
gastando gastar
energia energia
só só
com com
isso isso
então então
qual qual
é ser
o o
meu meu
conselho conselho
de de
jock jock
o o
seu seu
olhar olhar
para para
outros outro
seres ser
humanos humano
hoje hoje
no em_o
planeta planeta
terra terra
hoje hoje
no em_o
planeta planeta
terra terra
marca marca
de de
1 1
bilhão bilhão
de de
pessoas pessoa
não não
comeram comer
nada nada
e e
você você
está estar
fazendo fazer
regime regime
para para
emagrecer emagrecer
sem sem
tomar tomar
refrigerante refrigerante
não não
posso poder
comer comer
bolo bolo
eu eu
vejo ver
um um
bolo bolo
chegou chegar
a a
reclamar reclamar
a ela
desloca deslocar
te tu
olhar olhar
rapaz rapaz
desloca deslocar
apesar apesar
dos de_o
seus seu
problemas problema
não não
vou ir
dizer dizer
milhões milhão
apesar apesar
dos de_o
problemas problema
que que
eu eu
e e
você você
enfrentamos enfrentar
tem ter
bilhão bilhão
de de
gente gente
enfrentando enfrentar
o o
problema problema
maior grande
do de_o
que que
o o
teu teu
desloca deslocar
até até
olhar olhar
você você
tá estar
olhando olhar
só só
para para
você você
a a
chorar chorar
ei ei
desloca deslocar
se se
eu eu
olhar olhar
para para
o o
futuro futuro
desloca deslocar
se se
olhar olhar
para para
o o
futuro futuro
a a
coisa coisa
pode poder
tá estar
feia feio
a o
coisa coisa
pode poder
tar tar
horrorosa horroroso
mas mas
teu teu
futuro futuro
da de_o
impacto impacto
vai ir
de de
vitória vitória
vai ir
ter ter
porta porta
aberta abrir
vai ir
ter ter
saída saída
vai ir
ter ter
solução solução
a a
qualquer qualquer
hora hora
não não
a o
tribulação tribulação
que que
dura durar
a o
vida vida
toda todo
nem nem
pra pra
sempre sempre
vai ir
vir vir
em em
socorro socorro
do de_o
senhor senhor
é ser
socorro socorro
bem bem
presente presente
na em_o
angústia angústia
ele ele
tem ter
saída saída
ele ele
tem ter
porta porta
aberta abrir
ei ei
olha olhar
pro pro
teu teu
futuro futuro
mesmo mesmo
que que
o o
teu teu
presente presente
seja ser
de de
muita muito
dificuldade dificuldade
olha olhar
pra pra
deus deus
meu meu
filho filho
estava estar
34 34
versículo versículo
5d 5d
isolaram isolar
para para
ele ele
foram ser
iluminados iluminar
os o
seus seu
rostos rosto
não não
ficaram ficar
confundidos confundir
e e
levo levar
os o
meus meu
olhos olho
para para
os o
montes monte
de de
onde onde
virá vir
o o
socorro socorro
o o
meu meu
socorro socorro
venceu vencer
o o
que que
fez fazer
os o
céus céu
ea ea
terra terra
ele ele
não não
deixará deixar
a a
vacilar vacilar
o o
teu teu
pé pé
é ser
o o
solo solo
121 @card@
e e
isaías isaías
64 64
4 4
diz dizer
desde desde
a o
antiguidade antiguidade
não não
se se
ouviu ouvir
nem nem
com com
o o
ouvido ouvido
se se
percebeu perceber
nem nem
com com
os o
olhos olho
se se
viu ver
um um
deus deus
além além
de de
tic tic
trabalho trabalho
em em
favor favor
daquele de_aquele
que que
ele ele
espera esperar
olha olhar
a a
deus deus
meu meu
irmão irmão
olha olhar
pra pra
deus deus
olha olhar
pra pra
deus deus
ele ele
tem ter
todas todo
as o
respostas resposta
ele ele
tem ter
todas todo
as o
saídas saída
ele ele
tem ter
as o
