oséias oséias
arranja arranjar
por por
isso isso
que que
quando quando
eu eu
assumi assumir
essa esse
igreja igreja
eu eu
botei botar
o o
jogo jogo
na em_o
tv tv
aqui aqui
isso isso
aqui aqui
a o
igreja igreja
da de_o
palavra palavra
advec advec
é ser
a o
igreja igreja
a o
palavra palavra
amo amar
adoração adoração
e e
um um
louvor louvor
louvo louvar
a a
deus deus
pela por_o
adoração adoração
e e
pelo por_o
o o
que que
tem ter
na em_o
igreja igreja
mas mas
aqui aqui
é ser
a o
palavra palavra
o o
que que
prevalece prevalecer
aqui aqui
é ser
a o
palavra palavra
é ser
a o
palavra palavra
é ser
a o
palavra palavra
a a
principal principal
forte forte
do de_o
conhecimento conhecimento
de de
deus deus
olha olhar
jesus jesus
em em
relação relação
ao a_o
conhecimento conhecimento
lucas lucas
2 2
52 52
jesus jesus
cresci crescer
em em
estatura estatura
graça graça
e e
conhecimento conhecimento
para para
com com
deus deus
e e
os o
homens homem
jesus jesus
se se
desenvolvia desenvolver
como como
homem homem
no em_o
conhecimento conhecimento
da de_o
palavra palavra
e e
nós nós
a o
nice nice
sorrateiramente sorrateiramente
quer querer
tirar tirar
a o
palavra palavra
porque porque
quando quando
a o
palavra palavra
tirada tirar
o o
império império
da de_o
dúvida dúvida
mas mas
a o
incredulidade incredulidade
prota prota
mas mas
quando quando
a o
palavra palavra
taha taha
irrigada irrigar
no em_o
teu teu
coração coração
de de
lá lá
o o
são ser
1 1
119 @card@
versículo versículo
11 11
esconde esconder
a o
tua tua
palavra palavra
no em_o
meu meu
coração coração
para para
não não
pecar pecar
contra contra
ti tu
é ser
amor amor
é ser
o o
maior grande
instrumento instrumento
de de
blindagem blindagem
contra contra
o o
pecado pecado
eu eu
vou ir
dizer dizer
uma um
coisa coisa
pra pra
você você
meu meu
foi ir
a o
prenda prenda
você você
pode poder
estar estar
10 10
mil mil
quilômetros quilômetro
de de
distância distância
da de_o
última último
pessoa pessoa
que que
conhece conhecer
o o
cara cara
mais mais
perto perto
de de
você você
tá estar
10 10
mil mil
km km
de de
distância distância
num em_um
lugar lugar
de de
piedade piedade
de de
pecado pecado
o o
que que
vai ir
te tu
proteger proteger
contra contra
o o
pecado pecado
agora agora
escuta escutar
vou ir
radicalizar radicalizar
para para
você você
entender entender
você você
pode poder
estar estar
aqui aqui
dentro dentro
da de_o
igreja igreja
aqui aqui
dentro dentro
da de_o
igreja igreja
desculpa desculpar
o o
que que
eu eu
vou ir
falar falar
mas mas
eu eu
sei saber
o o
que que
eu eu
tô tô
falando falar
você você
pode poder
aqui aqui
dentro dentro
da de_o
igreja igreja
com com
um um
monte monte
de de
crente crente
está estar
dando dar
uma um
cantada cantar
numa em_um
mulher mulher
da de_o
igreja igreja
quando quando
acabar acabar
o o
curso curso
leva levar
pro pro
motel motel
na em_o
maior grande
cara cara
de de
pau pau
bumbum bumbum
porque porque
o o
que que
é ser
vital vital
você você
de de
pecar pecar
não não
é ser
porque porque
você você
está estar
rodeado rodear
de de
crente crente
que que
você você
está estar
dentro dentro
do de_o
couto coutar
é ser
o o
poder poder
da de_o
palavra palavra
de de
deus deus
na em_o
minha meu
e e
na em_o
tua tua
vida vida
aqui aqui
está estar
a o
principal principal
fonte fonte
a o
fonte fonte
mais mais
importante importante
para para
você você
adquirir adquirir
conhecimento conhecimento
de de
deus deus
segundo segundo
lugar lugar
segundo segundo
a o
fonte fonte
a a
busca busca
de de
conhecimento conhecimento
através através
de de
um um
elemento elemento
transcendental transcendental
oração oração
aprendo aprender
uma um
coisa coisa
meu meu
irmão irmão
deus deus
tem ter
e e
maneiras maneira
de de
falar falar
contigo contigo
você você
só só
tem ter
uma um
maneira maneira
de de
falar falar
com com
ele ele
deus deus
tem ter
e e
maneiras maneira
de de
falar falar
comigo com_eu
com com
você você
você você
só só
tem ter
uma um
maneira maneira
de de
falar falar
com com
ele ele
através através
da de_o
população população
aí aí
vem vir
mais mais
segunda segundo
como como
é ser
que que
você você
pode poder
conhecer conhecer
uma um
pessoa pessoa
se se
você você
não não
conversa conversa
com com
ela ela
como como
é ser
que que
você você
cria criar
relacionamento relacionamento
estou estar
feliz feliz
com com
outro outro
ser ser
humano humano
se se
você você
nunca nunca
falar falar
com com
ele ele
se se
você você
não não
fala falar
com com
uma um
pessoa pessoa
o o
teu teu
conhecimento conhecimento
acerca acerca
daquela de_aquele
pessoa pessoa
simplesmente simplesmente
superficial superficial
no em_o
máximo grande
conhecimento conhecimento
social social
de de
educação educação
bom bom
dia dia
boa boa
tarde tarde
boa bom
noite noite
tudo tudo
bem bem
obrigado obrigar
com com
licença licença
e e
acabou acabar
você você
sabia saber
que que
tem ter
crenças crença
se se
com com
deus deus
bom bom
dia dia
boa boa
tarde tarde
boa bom
noite noite
obrigado obrigar
com com
licença licença
então então
acrescentando acrescentar
aqui aqui
a o
paz paz
do de_o
senhor senhor
não não
tem ter
intimidade intimidade
com com
deus deus
não não
tem ter
intimidade intimidade
porque porque
não não
hora hora
você você
só só
pode poder
conhecer conhecer
se se
você você
falar falar
como como
é ser
que que
você você
quer querer
que que
deus deus
fala falar
com com
você você
se se
você você
não não
fala falar
com com
ele ele
ninguém ninguém
tem ter
tempo tempo
para para
chorar chorar
eu eu
acho achar
sensacional sensacional
daniel daniel
capítulo capítulo
6 6
versículo versículo
idade idade
daniel daniel
diz dizer
assim assim
e e
daniel daniel
morava morar
três três
vezes vezes
ao a_o
dia dia
como como
antes antes
estava estar
acostumado acostumar
a a
fazer fazer
o o
gol gol
dessa de_esse
expressão expressão
como como
antes antes
estava estar
acostumado acostumar
a a
fazer fazer
sempre sempre
o o
que que
significa significar
isso isso
que que
daniel daniel
capítulo capítulo
6 6
ele ele
é ser
governador governador
de de
40 40
cidades cidade
não não
têm ter
telefone telefone
celular celular
não não
tem ter
avião avião
não não
tem ter
carro carro
de de
velocidade velocidade
não não
tem ter
meio meio
não não
tem ter
sap sap
zap zap
em em
cidades cidade
com com
mais mais
de de
300 300
quilômetros quilômetro
uma uma
da de_o
outra outro
uma um
da de_o
outra outro
o o
texto texto
dizendo dizer
o o
seguinte seguinte
e e
daniel daniel
morava morar
três três
vezes vezes
ao a_o
dia dia
como como
antes antes
estava estar
acostumado acostumar
a a
fazer fazer
isso isso
é ser
antes antes
de de
ele ele
ser ser
governador governador
de de
40 40
cidades cidade
melhorava melhorar
três três
vezes vezes
ao a_o
dia dia
significa significar
que que
ele ele
tinha ter
um um
relacionamento relacionamento
permanente permanente
com com
deus deus
e e
não não
sazonal sazonal
com com
deus deus
se se
eu eu
pegasse pegar
um um
gráfico gráfico
da de_o
oração oração
dos de_o
crentes crente
eu eu
vou ir
fazer fazer
um um
gráfico gráfico
imaginário imaginário
ok ok
comigo com_eu
é ser
um um
gráfico gráfico
como como
é ser
que que
deveria dever
ser ser
esse esse
gráfico gráfico
a a
deus deus
homem homem
como como
é ser
que que
abre abrir
esse esse
gráfico gráfico
esse esse
gráfico gráfico
de de
brescia brescia
assim assim
uma um
linha linha
reta reto
uma um
infinita infinito
mas mas
eu eu
vou ir
te tu
mostrar mostrar
o o
gráfico gráfico
da de_o
oração oração
da de_o
relação relação
além além
dos de_o
crentes crente
é ser
assim assim
como como
é ser
que que
é é
é ser
quase quase
igual igual
eletrocardiograma eletrocardiograma
meu meu
irmão irmão
olha olhar
daniel daniel
da de_o
europa europa
três três
vezes vezes
ao a_o
dia dia
e e
governava governar
40 40
cidade cidade
o o
camarada camarada
tem ter
uma um
micro micro
empresa empresa
não não
tem ter
tempo tempo
de de
chorar chorar
porque porque
afastou afastar
os o
negócios negócio
só só
quero querer
que que
minha meu
empresa empresa
não não
terá ter
de de
parar parar
então então
meu meu
filho filho
é ser
melhor bom
virar virar
empregado empregado
só só
tem ter
tempo tempo
de de
oração oração
em em
praga praga
trabalhar trabalhar
oito oito
horas hora
por por
dia dia
o o
cara cara
é ser
dono dono
de de
uma um
microempresa microempresa
e e
já já
fica ficar
besta besta
não não
deve dever
gerar gerar
muita muito
coisa coisa
muito muito
a a
fazer fazer
as o
entregas entrega
via via
telefone telefone
serve servir
cafezinho café
para para
mim eu
mesmo mesmo
isso isso
é ser
uma um
coisa coisa
muito muito
pequena pequeno
empresa empresa
ele ele
é ser
empregado empregar
e e
do de_o
patrão patrão
e e
empregado empregado
é ser
o o
vendedor vendedor
eo eo
comprador comprador
a o
mesma mesmo
coisa coisa
ele ele
faz fazer
tudo tudo
o o
cara cara
deu dar
a o
microempresa microempresa
rapaz rapaz
desculpe desculpar
meu meu
irmão irmão
olha olhar
essa esse
é ser
uma um
palavra palavra
que que
eu eu
não não
quero querer
pra pra
ninguém ninguém
dá dar
dever dever
que que
eu eu
tenho ter
que que
falar falar
eu eu
lamento lamentar
dizer dizer
que que
muitos muito
crentes crente
vão ir
viver viver
a o
vida vida
toda todo
debaixo debaixo
de de
tribulação tribulação
porque porque
é ser
a o
única único
maneira maneira
de de
ele ele
ter ter
comunhão comunhão
com com
deus deus
porque porque
se se
melhorar melhorar
de de
vida vida
virar virar
besta besta
' '
em em
que que
honraram honrar
que que
a o
briga briga
não não
quer querer
ir ir
pra para_o
casa casa
de de
deus deus
aí aí
tem ter
que que
levar levar
o o
chicote chicote
segurança segurança
ele ele
bate bater
mais mais
papais papai
ua ua
ai ai
manto manto
aleluia aleluiar
aleluia aleluia
doeu doer
um um
pouco pouco
papai papai
mais mais
glória glória
[ [
Música música
] _
só só
ter ter
relacionamento relacionamento
com com
deus deus
debate debate
chicote chicotar
se se
a o
vida vida
melhorar melhorar
ficar ficar
besta besta
não não
quer querer
morar morar
no em_o
que que
é ser
bom bom
não não
ver ver
para para
crer crer
comunhão comunhão
com com
os o
irmãos irmão
olha olhar
daniel daniel
no em_o
capítulo capítulo
952 @card@
ele ele
busca buscar
conhecimento conhecimento
com com
o o
intelecto intelecto
mas mas
no em_o
versículo versículo
21 21
a a
23 23
ele ele
vai ir
orar orar
para para
buscar buscar
uma um
revelação revelação
e e
o o
texto texto
é ser
incrível incrível
e e
um um
varão varão
gabriel gabriel
vôo vôo
rapidamente rapidamente
quer querer
dizer dizer
que que
tem ter
anjo anjo
2 2
. .
0 o
anjo anjo
5 5
. .
0 0
quer querer
dizer dizer
que que
tem ter
anjo anjo
com com
motor motor
biturbo biturbar
v12 v12
de de
anjo anjo
com com
sem sem
turbo turbar
como como
é ser
que que
é ser
isso isso
o o
que que
o o
texto texto
tal tal
instrumento instrumento
que que
na em_o
bíblia bíblia
tattoo tattoo
seguinte seguinte
enquanto enquanto
uma um
intimidade intimidade
maior grande
velocidade velocidade
da de_o
resposta resposta
nós nós
queremos querer
vê ver
-lo ele
cidade cidade
na em_o
resposta resposta
essa esse
intimidade intimidade
háháhá háháhá
eu eu
tô tô
sendo ser
a o
bíblia bíblia
para para
você você
perguntou perguntar
inventando inventar
texto texto
não não
vai ir
ler ler
porque porque
você você
acha achar
que que
tá estar
lá lá
que que
o o
anjo anjo
rapidamente rapidamente
pra pra
ele ele
quando quando
ele ele
vai ir
buscar buscar
de de
deus deus
e e
olha olhar
quando quando
a o
gente gente
chega chegar
diz dizer
daniel daniel
você você
é ser
um um
cara cara
desejado desejar
depois depois
chegar chegar
no em_o
capítulo capítulo
10 10
que que
daniel daniel
está estar
buscando buscar
21 21
dias dia
de de
oração oração
e e
jejum jejum
por por
uma um
resposta resposta
o o
princípio princípio
da de_o
peça peça
satanás satanás
festas festa
passe passar
deral deral
para para
o o
anjo anjo
que que
vinha vir
trazer trazer
a o
resposta resposta
não não
passasse passar
um um
anjo anjo
volta voltar
de de
armanda armanda
miguel miguel
que que
o o
arcanjo arcanjo
classe classe
una uno
só só
tem ter
um um
arcanjo arcanjo
miguel miguel
comandante comandante
do de_o
exército exército
e e
chás chá
como como
só só
tinha ter
um um
querubim querubim
longe longe
do de_o
clube clube
um um
giro giro
classe classar
uma um
que que
era ser
lúcifer lúcifer
o o
aferidor aferidor
da de_o
medida medida
antes antes
da de_o
queda queda
aí aí
miguel miguel
vêem ver
trava trava
batalha batalha
abre abrir
passagem passagem
vai ir
lá lá
ver ver
capítulo capítulo
desse de_esse
com com
do de_o
estudo estudo
daniel daniel
diz dizer
assim assim
el el
veira veira
por por
causa causa
das de_o
tuas tuas
palavras palavra
eu eu
não não
vim vir
por por
causa causa
do de_o
teu teu
grito grito
não não
ficar ficar
tão tão
desespero desespero
eu eu
vim vir
pra pra
cá cá
eu eu
vim vir
porque porque
você você
tem ter
intimidade intimidade
você você
13 13
vezes vezes
entre entre
o o
capítulo capítulo
9 9
12 12
está estar
escrito escrever
você você
é ser
um um
homem homem
desejado desejar
que que
coisa coisa
incrível incrível
porque porque
ele ele
mantinha manter
intimidade intimidade
com com
deus deus
e e
à a_o
medida medida
que que
você você
mantém manter
intimidade intimidade
com com
deus deus
no em_o
relacionamento relacionamento
do de_o
meu meu
coração coração
mas mas
deus deus
vai ir
se se
manifestar manifestar
e e
se se
revelar revelar
a a
você você
o o
apóstolo apóstolo
paulo paulo
que que
pesquisava pesquisar
quando quando
o o
apóstolo apóstolo
paulo paulo
fala falar
em em
primeira primeiro
pessoa pessoa
de de
65 65
17 17
horas hora
sem sem
cessar cessar
paulo paulo
nunca nunca
mandou mandar
ninguém ninguém
fazer fazer
uma um
coisa coisa
que que
não não
fazia fazer
porque porque
filipenses filipensar
4 4
9 9
diz dizer
o o
que que
aprender aprender
civis civil
ouvir ouvir
se se
recebesse receber
de de
mim eu
também também
fazem fazer
sede sede
meus meu
imitadores imitador
como como
eu eu
sou ser
de de
cristo cristo
ele ele
era ser
um um
exemplo exemplo
de de
vida vida
cristã cristão
você você
quer querer
conhecimento conhecimento
de de
deus deus
em em
busca busca
de de
informação informação
com com
o o
intelecto intelecto
meditação meditação
da de_o
palavra palavra
sequer sequer
conhecimento conhecimento
de de
deus deus
em em
busca busca
de de
relacionamento relacionamento
com com
deus deus
através através
de de
elementos elemento
de de
transcendência transcendência
oração oração
você você
fala falar
com com
deus deus
e e
de de
maneira maneira
sobrenatural sobrenatural
deus deus
ouve ouvir
o o
que que
você você
está estar
falando falar
de de
responde responder
terceiro terceiro
um um
ato ato
de de
soberania soberania
de de
deus deus
esse esse
ato ato
de de
soberania soberania
de de
deus deus
é ser
lógico lógico
deus deus
não não
é ser
inconsequente inconsequente
as o
revelações revelação
que que
deus deus
dá dar
adeus adeus
ó ó
da de_o
revelação revelação
para para
quem quem
busca buscar
para para
quem quem
tem ter
intimidade intimidade
com com
ele ele
por por
isso isso
que que
daniel daniel
por por
isso isso
que que
deu dar
a a
jeremias jeremias
por por
isso isso
que que
deu dar
a a
paulo paulo
e e
paulo paulo
dizem dizer
segunda segundo
corinthians corinthians
1271 @card@
espinho espinho
na em_o
carne carne
para para
que que
ele ele
não não
se se
vangloriar vangloriar
se se
pela por_o
excelência excelência
das de_o
revelações revelação
uma um
outra outro
maneira maneira
de de
você você
obter obter
só só
as o
experiências experiência
com com
deus deus
no em_o
seu seu
dia dia
a a
dia dia
e e
sabe saber
qual qual
é ser
a o
maior grande
maneira maneira
de de
você você
ter ter
experiências experiência
com com
deus deus
no em_o
seu seu
dia dia
a a
dia dia
é ser
quando quando
você você
testemunha testemunhar
de de
cristo cristo
quando quando
você você
fala falar
de de
jesus jesus
meu meu
irmão irmão
você você
vai ir
ver ver
o o
poder poder
de de
jesus jesus
você você
vai ir
ver ver
gente gente
chorar chorar
a o
gente gente
aceitar aceitar
cristo cristo
gentes gente
e e
curada curar
você você
não não
tem ter
idéia idéia
é ser
uma um
maneira maneira
de de
você você
conhecer conhecer
deus deus
através através
das de_o
experiências experiência
do de_o
dia dia
a a
dia dia
por por
isso isso
que que
paulo paulo
dizem dizer
segunda segundo
timóteo timóteo
3 3
11 11
ele ele
disse dizer
uma um
coisa coisa
interessante interessante
tribulações tribulação
e e
aflições aflição
tais tal
quais qual
me eu
aconteceram acontecer
em em
antioquia antioquia
e e
colher colher
listra listra
quanto quanto
as o
perseguições perseguição
que que
sofri sofrer
mas mas
o o
senhor senhor
de de
todas todo
me eu
livrou livrar
ele ele
tinha ter
experiência experiência
com com
deus deus
é ser
o o
mesmo mesmo
paulo paulo
que que
diz dizer
em em
romanos romano
5 5
3 3
sinto sentir
prazer prazer
na em_o
tribulação tribulação
que que
a o
tribulação tribulação
produz produzir
a o
paciência paciência
paciência paciência
experiência experiência
a a
experiência experiência
a o
esperança esperança
ea ea
esperança esperança
não não
traz trazer
confusão confusão
porque porque
o o
amor amor
de de
deus deus
foi ser
derramado derramar
em em
nossos nosso
corações coração
pelo por_o
espírito espírito
santo santo
que que
nos nós
foi ser
dado dar
olha olhar
quanta quantum
coisa coisa
ele ele
obtém obter
através através
da de_o
sua seu
experiência experiência
com com
deus deus
e e
se se
você você
quiser querer
ter ter
conhecimento conhecimento
de de
deus deus
querido querido
se se
discute discutir
tem ter
em em
meio meio
s s
negou negar
a a
mon mon
não não
tem ter
como como
tem ter
que que
ser ser
através através
desse de_esse
meio meio
jesus jesus
falou falar
em em
joão joão
14 14
6 6
eu eu
sou ser
o o
caminho caminho
a a
verdade verdade
ea ea
vida vida
ninguém ninguém
vem vir
ao a_o
pai pai
a a
não não
ser ser
por por
mim eu
todo todo
o o
conhecimento conhecimento
de de
deus deus
que que
você você
queira querer
você você
tem ter
que que
passar passar
por por
jesus jesus
que que
é ser
o o
mediador mediador
entre entre
deus deus
eo eo
homem homem
agora agora
vou ir
te tu
mostrar mostrar
qual qual
é ser
o o
resultado resultado
do de_o
conhecimento conhecimento
de de
deus deus
eu eu
te tu
mostrei mostrar
a o
consequência consequência
da de_o
falta falta
de de
eu eu
te tu
mostrei mostrar
como como
você você
pode poder
obter obter
conhecimento conhecimento
de de
deus deus
e e
agora agora
vou ir
te tu
mostrar mostrar
o o
resultado resultado
pra pra
você você
sabe saber
da de_o
importância importância
de de
você você
conhecer conhecer
o o
deus deus
que que
você você
serve servir
irmãos irmão
com com
todo todo
o o
respeito respeito
com com
todo todo
respeito respeito
antes antes
de de
mostrar mostrar
o o
resultado resultado
eu eu
quero querer
dizer dizer
para para
vocês você
que que
eu eu
nunca nunca
vi ver
crente crente
estão estar
rasos raso
tão tão
medíocres medíocre
no em_o
conhecimento conhecimento
de de
deus deus
como como
nesse em_esse
tempo tempo
eu eu
nunca nunca
vi ver
uma um
geração geração
tão tão
desatenciosos desatencioso
a a
tão tão
medíocre medíocre
tão tão
rasa raso
no em_o
conhecimento conhecimento
de de
deus deus
como como
nesse em_esse
tempo tempo
no em_o
tempo tempo
da de_o
tecnologia tecnologia
no em_o
tempo tempo
da de_o
facilidade facilidade
eu eu
nunca nunca
vi ver
o o
povo povo
de de
deus deus
tão tão
raso raso
no em_o
conhecimento conhecimento
das de_o
coisas coisa
de de
deus deus
eu eu
vou ir
te tu
mostrar mostrar
o o
resultado resultado
de de
quem quem
conhece conhecer
deus deus
número número
1 1
eu eu
te tu
falei falar
que que
a o
mensagem mensagem
era ser
pedagógica pedagógico
não não
tem ter
nenhuma nenhum
coisa coisa
primeiro primeiro
o o
conhecimento conhecimento
de de
deus deus
nos em_o
livre livre
da de_o
vergonha vergonha
primeira primeiro
pedro pedro
3 3
15 15
diz dizer
que que
devemos dever
estar estar
preparados preparar
para para
responder responder
a a
qualquer qualquer
pedido pedido
a a
razão razão
da de_o
nossa nosso
fé fé
tem ter
crente crente
que que
pede pedir
para para
o o
amigo amigo
pecador pecador
não não
saber saber
que que
ela ela
cante cantar
seu meu
igualada igualar
não não
deixa deixar
essa esse
turma turma
saber saber
que que
eu eu
vou ir
na em_o
igreja igreja
aí aí
sangue sangue
de de
jesus jesus
tem ter
poder poder
lá lá
as elas
essa esse
cambada cambar
de de
não não
sabe saber
nada nada
de de
doutrinas doutrina
fundamentais fundamental
do de_o
evangelho evangelho
se se
encarar encarar
um um
testemunha testemunha
de de
jeová jeová
não não
de de
jeová jeová
e e
disser dizer
pra pra
ele ele
você você
sabia saber
que que
jesus jesus
é ser
o o
irmão irmão
mais mais
velho velho
da de_o
humanidade humanidade
não não
sabia saber
que que
é ser
verdade verdade
jesus jesus
é ser
o o
irmão irmão
mais mais
velho velho
que que
jesus jesus
irmão irmão
mais mais
velho velho
é ser
da de_o
humanidade humanidade
primeira primeiro
joão joão
5 5
18 18
diz dizer
sabemos saber
que que
o o
filho filho
de de
deus deus
é ser
vida vida
e e
no em_o
seu seu
entendimento entendimento
para para
conhecermos conhecer
o o
que que
é ser
verdadeiro verdadeiro
eo eo
que que
é ser
verdadeiro verdadeiro
estamos estar
isto isto
é ser
em em
jesus jesus
cristo cristo
seu seu
filho filho
esse esse
é ser
o o
verdadeiro verdadeiro
deus deus
ea ea
vida vida
eterna eterno
que que
já já
fizeram fazer
mais mais
de de
humanidade humanidade
para para
jesus jesus
é ser
o o
menino menino
não não
sabe saber
o o
que que
o o
conhecimento conhecimento
de de
deus deus
produz produzir
nos nós
livra livrar
das de_o
heresias heresia
aqui aqui
é ser
mais mais
sério sério
mateus mateus
22 22
29 29
jesus jesus
falou falar
em em
reais real
por por
não não
conhecerem conhecer
as o
escrituras escritura
no em_o
poder poder
de de
imagina imaginar
se se
um um
crente crente
pegar pegar
um um
kardecista kardecista
que que
diz dizer
pra pra
ele ele
que que
joão joão
batista batista
elias elias
aqui aqui
está estar
escrito escrever
na em_o
bíblia bíblia
ele ele
veio vir
menos menos
pediria pedir
a o
reencarnação reencarnação
na em_o
bíblia bíblia
batistelli batistelli
e e
maria maria
saiu sair
creditá creditá
fritos frigir
e e
assados assar
em em
gordura gordura
eu eu
não não
sabia saber
em em
reencarnação reencarnação
da de_o
bíblia bíblia
irmão irmão
deixa deixar
eu eu
te tu
falar falar
um um
princípio princípio
da de_o
reencarnação reencarnação
um um
princípio princípio
a a
reencarnação reencarnação
é ser
que que
aquele aquele
que que
reencarna reencarnar
que que
sabe saber
quer quer
que que
encarnou encarnar
esse esse
é ser
um um
princípio princípio
da de_o
teoria teoria
da de_o
reencarnação reencarnação
quem quem
encarna encarnar
ele ele
é ser
que que
sabe saber
que que
ele ele
encarnou encarnar
foram ser
perguntar perguntar
para para
joão joão
joão joão
capítulo capítulo
1 1
versículos versículo
21 21
você você
é ser
elias elias
joão joão
respondeu responder
eu eu
não não
show show
alan alan
kardec kardec
não não
sabe saber
mais mais
do de_o
que que
joão joão
está estar
utilizando utilizar
princípios princípio
da de_o
doutrina doutrina
e e
outra outro
para para
pensar pensar
no em_o
irmão irmão
você você
sabia saber
que que
estava estar
de de
encarnação encarnação
da de_o
crise crise
existencial existencial
eu eu
não não
show show
que que
eu eu
penso pensar
que que
sou ser
eu eu
sou ser
alguma algum
coisa coisa
que que
foi ser
não não
sei saber
que que
você você
paraná paraná
leza leza
quem quem
é ser
você você
não não
sei saber
quem quem
você você
vai ir
ser ser
também também
não não
sei saber
eu eu
sei saber
que que
é ser
só só
uma um
coisa coisa
que que
está estar
passando passar
por por
aqui aqui
pagando pagar
o o
pato pato
de de
alguém alguém
que que
foi ser
então então
eu eu
não não
só só
eu eu
sou ser
alguma algum
coisa coisa
que que
já já
era ser
maluco maluco
quem quem
é ser
você você
não não
sei saber
eu eu
tenho ter
show show
nome nome
agora agora
se se
uma um
malafaia malafaia
mas mas
eu eu
sou ser
uma um
outra outro
coisa coisa
que que
eu eu
não não
sei saber
quem quem
fui ser
para para
a o
cabeça cabeça
nesse em_esse
troço troço
cara cara
e e
outra outro
e e
dependendo depender
da de_o
linha linha
da de_o
linha linha
da de_o
reencarnação reencarnação
você você
foi ser
uma um
barata barata
na em_o
outra outro
encarnação encarnação
por por
foi ser
um um
rato rato
olha olhar
o o
maluco maluco
ei ei
que que
conversa conversa
é ser
essa esse
eu eu
só só
a a
coral coral
a o
da de_o
criação criação
de de
deus deus
deus deus
deixem deixar
de de
dedos dedo
deus deus
acabasse acabar
a o
bíblia bíblia
diz dizer
em em
hebreus hebreu
9 9
27 27
que que
o o
homem homem
está estar
ordenado ordenar
morreu morrer
uma um
só só
vez vez
de de
sexo sexo
juízo juízo
nem nem
vai ir
reencarnar reencarnar
em em
nada nada
a o
bíblia bíblia
diz dizer
em em
romanos romano
14 14
12 12
cada cada
um um
de de
nós nós
dá dar
conta conta
de de
si si
mesmo mesmo
a a
deus deus
que que
conversa conversa
é ser
essa esse
o o
conhecimento conhecimento
de de
deus deus
nos em_o
livre livre
da de_o
vergonha vergonha
nos em_o
livra livrar
da de_o
heresia heresia
o o
conhecimento conhecimento
de de
deus deus
nos nós
livrar livrar
da de_o
acomodação acomodação
repito repetir
lucas lucas
2 2
52 52
diz dizer
que que
jesus jesus
crescia crescer
estatura estatura
graça graça
e e
conhecimento conhecimento
é é
desenvolvimento desenvolvimento
cada cada
vez vez
que que
você você
conhece conhecer
deus deus
mas mas
você você
quer querer
conhecer conhecer
deus deus
e e
quanto quanto
mais mais
você você
conhece conhecer
mesmo mesmo
você você
sabe saber
com com
essa esse
e e
mais mais
você você
quer querer
conhecer conhecer
o o
conhecimento conhecimento
de de
deus deus
é ser
contínuo contínuo
uma um
coisa coisa
formada formar
e e
acabada acabar
tira tirar
você você
estou estar
satisfeito satisfazer
em em
crianças criança
com com
essa esse
tem ter
carteirinha carteira
aqui aqui
ó ó
30 30
anos ano
de de
bryan bryan
daqui de_aqui
a a
cinco cinco
anos ano
me eu
aposento aposento
e e
outra outro
com com
essa esse
reforma reforma
daí de_aí
vai ir
demorar demorar
mais mais
um um
pouco pouco
há haver
aqui aqui
ó ó
37 37
sabe saber
nada nada
para para
off off
medíocre medíocre
acomodado acomodar
por por
ter ter
o o
princípio princípio
da de_o
sós só
em em
bray bray
assembléia assembléia
na em_o
assembléia assembléia
porque porque
não não
há haver
princípio princípio
da de_o
sua seu
assembleia assembleia
de de
deus deus
agora agora
se se
esse esse
negócio negócio
moderno moderno
essa esse
tela tela
do de_o
capeta capeta
grande grande
aqui aqui
dentro dentro
da de_o
igreja igreja
você você
sabe saber
que que
eu eu
fui ser
chamado chamar
quando quando
eu eu
entrei entrar
na em_o
televisão televisão
numa em_um
convenção convenção
geral geral
o o
pastor pastor
falou falar
assim assim
os o
líderes líder
da de_o
assembléia assembléia
de de
deus deus
essa esse
caixa caixa
666 @card@
chamava chamar
caixa caixa
de de
besta besta
e e
adivinha adivinhar
que que
era ser
besta besta
que que
estava estar
lá lá
eu eu
quase quase
que que
eu eu
não não
dancei dançar
que que
meu meu
pai pai
era ser
um um
líder líder
de de
muita muito
influência influência
se se
não não
gostar gostar
da de_o
minha meu
cabeça cabeça
e e
o o
cara cara
tá estar
parado parar
no em_o
tempo tempo
e e
no em_o
espaço espaço
não não
se se
contextualiza contextualiza
com com
nada nada
não não
sabe saber
nada nada
não não
quer querer
conhecer conhecer
na em_o
ta ta
o o
conhecimento conhecimento
de de
deus deus
é ser
dinâmico dinâmico
o o
que que
é ser
que que
o o
conhecimento conhecimento
de de
deus deus
olha olhar
que que
coisa coisa
linda lindo
segundo segundo
pedro pedro
2 2
graça graça
e e
paz paz
vos vós
seja ser
multiplicada multiplicar
pelo por_o
conhecimento conhecimento
de de
deus deus
nosso nosso
senhor senhor
jesus jesus
cristo cristo
multiplicação multiplicação
de de
graça graça
e e
de de
paz paz
a o
multiplicação multiplicação
de de
experiência experiência
com com
deus deus
e e
de de
sossego sossego
pode poder
estar estar
tudo tudo
pegando pegar
fogo fogo
e e
você você
fala falar
igual igual
a a
paulo paulo
em em
segundo segundo
thimote thimote
1 1
/ /
12 12
eu eu
sei saber
quem quem
eu eu
tenho ter
crédito crédito
eu eu
conheço conhecer
meu meu
deus deus
tá estar
pegando pegar
fogo fogo
mas mas
eu eu
tenho ter
paz paz
deus deus
está estar
no em_o
controle controle
deus deus
sabe saber
de de
tudo tudo
eu eu
conheço conhecer
deus deus
que que
eu eu
sirvo servir
o o
que que
o o
